change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-75000,,2024-06-03,0000320193-24-000075,False,LEVINSON ARTHUR D,4359576,sec,AAPL,S,2024-05-30,191.58
-4999,,2024-05-17,0000320193-24-000073,False,KONDO CHRIS,29278,sec,AAPL,S,2024-05-15,190.395
-1850,,2024-05-14,0000320193-24-000071,False,Adams Katherine L.,291543,sec,AAPL,G,2024-05-10,0.0
-1899,,2024-04-17,0000320193-24-000058,True,KONDO CHRIS,13288,sec,AAPL,M,2024-04-15,0.0
-2078,,2024-04-17,0000320193-24-000058,True,KONDO CHRIS,10387,sec,AAPL,M,2024-04-15,0.0
-1915,,2024-04-17,0000320193-24-000058,True,KONDO CHRIS,5742,sec,AAPL,M,2024-04-15,0.0
-2227,,2024-04-17,0000320193-24-000058,True,KONDO CHRIS,2226,sec,AAPL,M,2024-04-15,0.0
-3120,,2024-04-17,0000320193-24-000058,False,KONDO CHRIS,34277,sec,AAPL,F,2024-04-15,172.69
8119,,2024-04-17,0000320193-24-000058,False,KONDO CHRIS,37397,sec,AAPL,M,2024-04-15,0.0
-59162,,2024-04-15,0000320193-24-000056,False,WILLIAMS JEFFREY E,489944,sec,AAPL,S,2024-04-11,172.22
-12894,,2024-04-15,0000320193-24-000055,False,Maestri Luca,107788,sec,AAPL,S,2024-04-11,175.02
-27600,,2024-04-15,0000320193-24-000055,False,Maestri Luca,120682,sec,AAPL,S,2024-04-11,174.12
-12700,,2024-04-15,0000320193-24-000055,False,Maestri Luca,148282,sec,AAPL,S,2024-04-11,173.19
-54732,,2024-04-03,0000320193-24-000051,False,O'BRIEN DEIRDRE,136572,sec,AAPL,S,2024-04-02,168.91
-165,,2024-04-03,0000320193-24-000049,False,COOK TIMOTHY D,3280180,sec,AAPL,S,2024-04-02,169.3
-97062,,2024-04-03,0000320193-24-000049,False,COOK TIMOTHY D,3280345,sec,AAPL,S,2024-04-02,168.62
-54732,,2024-04-03,0000320193-24-000048,False,Adams Katherine L.,293393,sec,AAPL,S,2024-04-02,168.9
-22689,,2024-04-03,0000320193-24-000052,True,WILLIAMS JEFFREY E,45376,sec,AAPL,M,2024-04-01,0.0
-29688,,2024-04-03,0000320193-24-000052,True,WILLIAMS JEFFREY E,29688,sec,AAPL,M,2024-04-01,0.0
-60932,,2024-04-03,0000320193-24-000052,True,WILLIAMS JEFFREY E,0,sec,AAPL,M,2024-04-01,0.0
-54147,,2024-04-03,0000320193-24-000052,False,WILLIAMS JEFFREY E,549106,sec,AAPL,F,2024-04-01,170.03
113309,,2024-04-03,0000320193-24-000052,False,WILLIAMS JEFFREY E,603253,sec,AAPL,M,2024-04-01,0.0
-22689,,2024-04-03,0000320193-24-000051,True,O'BRIEN DEIRDRE,45376,sec,AAPL,M,2024-04-01,0.0
-29688,,2024-04-03,0000320193-24-000051,True,O'BRIEN DEIRDRE,29688,sec,AAPL,M,2024-04-01,0.0
-60932,,2024-04-03,0000320193-24-000051,True,O'BRIEN DEIRDRE,0,sec,AAPL,M,2024-04-01,0.0
-58577,,2024-04-03,0000320193-24-000051,False,O'BRIEN DEIRDRE,191304,sec,AAPL,F,2024-04-01,170.03
113309,,2024-04-03,0000320193-24-000051,False,O'BRIEN DEIRDRE,249881,sec,AAPL,M,2024-04-01,0.0
-22689,,2024-04-03,0000320193-24-000050,True,Maestri Luca,45376,sec,AAPL,M,2024-04-01,0.0
-29688,,2024-04-03,0000320193-24-000050,True,Maestri Luca,29688,sec,AAPL,M,2024-04-01,0.0
-60932,,2024-04-03,0000320193-24-000050,True,Maestri Luca,0,sec,AAPL,M,2024-04-01,0.0
-60115,,2024-04-03,0000320193-24-000050,False,Maestri Luca,160982,sec,AAPL,F,2024-04-01,170.03
113309,,2024-04-03,0000320193-24-000050,False,Maestri Luca,221097,sec,AAPL,M,2024-04-01,0.0
-85081,,2024-04-03,0000320193-24-000049,True,COOK TIMOTHY D,170160,sec,AAPL,M,2024-04-01,0.0
-111329,,2024-04-03,0000320193-24-000049,True,COOK TIMOTHY D,111329,sec,AAPL,M,2024-04-01,0.0
-99183,,2024-04-03,0000320193-24-000049,False,COOK TIMOTHY D,3377407,sec,AAPL,S,2024-04-01,170.03
196410,,2024-04-03,0000320193-24-000049,False,COOK TIMOTHY D,3476590,sec,AAPL,M,2024-04-01,0.0
-22689,,2024-04-03,0000320193-24-000048,True,Adams Katherine L.,45376,sec,AAPL,M,2024-04-01,0.0
-29688,,2024-04-03,0000320193-24-000048,True,Adams Katherine L.,29688,sec,AAPL,M,2024-04-01,0.0
-60932,,2024-04-03,0000320193-24-000048,True,Adams Katherine L.,0,sec,AAPL,M,2024-04-01,0.0
-58577,,2024-04-03,0000320193-24-000048,False,Adams Katherine L.,348125,sec,AAPL,F,2024-04-01,170.03
113309,,2024-04-03,0000320193-24-000048,False,Adams Katherine L.,406702,sec,AAPL,M,2024-04-01,0.0
-100000,,2024-03-01,0000320193-24-000036,False,LEVINSON ARTHUR D,4434576,sec,AAPL,S,2024-02-29,180.94
1516,,2024-03-01,0000320193-24-000039,True,WAGNER SUSAN,1516,sec,AAPL,A,2024-02-28,0.0
1516,,2024-03-01,0000320193-24-000038,True,SUGAR RONALD D,1516,sec,AAPL,A,2024-02-28,0.0
1516,,2024-03-01,0000320193-24-000037,True,LOZANO MONICA C,1516,sec,AAPL,A,2024-02-28,0.0
1516,,2024-03-01,0000320193-24-000036,True,LEVINSON ARTHUR D,1516,sec,AAPL,A,2024-02-28,0.0
1516,,2024-03-01,0000320193-24-000035,True,JUNG ANDREA,1516,sec,AAPL,A,2024-02-28,0.0
1516,,2024-03-01,0000320193-24-000034,True,Gorsky Alex,1516,sec,AAPL,A,2024-02-28,0.0
1516,,2024-03-01,0000320193-24-000033,True,Austin Wanda M,1516,sec,AAPL,A,2024-02-28,0.0
-1852,,2024-02-05,0000320193-24-000022,True,WAGNER SUSAN,0,sec,AAPL,M,2024-02-01,0.0
1852,,2024-02-05,0000320193-24-000022,False,WAGNER SUSAN,60975,sec,AAPL,M,2024-02-01,0.0
-1852,,2024-02-05,0000320193-24-000021,True,SUGAR RONALD D,0,sec,AAPL,M,2024-02-01,0.0
1852,,2024-02-05,0000320193-24-000021,False,SUGAR RONALD D,107795,sec,AAPL,M,2024-02-01,0.0
-1852,,2024-02-05,0000320193-24-000020,True,LOZANO MONICA C,0,sec,AAPL,M,2024-02-01,0.0
1852,,2024-02-05,0000320193-24-000020,False,LOZANO MONICA C,7091,sec,AAPL,M,2024-02-01,0.0
-1852,,2024-02-05,0000320193-24-000019,True,LEVINSON ARTHUR D,0,sec,AAPL,M,2024-02-01,0.0
1852,,2024-02-05,0000320193-24-000019,False,LEVINSON ARTHUR D,4534576,sec,AAPL,M,2024-02-01,0.0
-1852,,2024-02-05,0000320193-24-000018,True,JUNG ANDREA,0,sec,AAPL,M,2024-02-01,0.0
1852,,2024-02-05,0000320193-24-000018,False,JUNG ANDREA,74489,sec,AAPL,M,2024-02-01,0.0
-1852,,2024-02-05,0000320193-24-000017,True,Gorsky Alex,0,sec,AAPL,M,2024-02-01,0.0
1852,,2024-02-05,0000320193-24-000017,False,Gorsky Alex,4023,sec,AAPL,M,2024-02-01,0.0
-1852,,2024-02-05,0000320193-24-000016,True,GORE ALBERT JR,0,sec,AAPL,M,2024-02-01,0.0
1852,,2024-02-05,0000320193-24-000016,False,GORE ALBERT JR,468995,sec,AAPL,M,2024-02-01,0.0
-1852,,2024-02-05,0000320193-24-000015,True,BELL JAMES A,0,sec,AAPL,M,2024-02-01,0.0
1852,,2024-02-05,0000320193-24-000015,False,BELL JAMES A,38527,sec,AAPL,M,2024-02-01,0.0
-5513,,2023-12-01,0000320193-23-000113,False,KONDO CHRIS,29174,sec,AAPL,S,2023-11-29,192.0
-123448,,2023-11-20,0000320193-23-000111,False,Adams Katherine L.,0,sec,AAPL,S,2023-11-17,188.79
123448,,2023-11-20,0000320193-23-000111,False,Adams Katherine L.,123448,sec,AAPL,G,2023-11-16,0.0
-123448,,2023-11-20,0000320193-23-000111,False,Adams Katherine L.,293266,sec,AAPL,G,2023-11-16,0.0
-4806,,2023-11-14,0000320193-23-000109,False,KONDO CHRIS,34687,sec,AAPL,S,2023-11-10,184.04
-2077,,2023-10-17,0000320193-23-000099,True,KONDO CHRIS,12465,sec,AAPL,M,2023-10-15,0.0
-1914,,2023-10-17,0000320193-23-000099,True,KONDO CHRIS,7657,sec,AAPL,M,2023-10-15,0.0
-2226,,2023-10-17,0000320193-23-000099,True,KONDO CHRIS,4453,sec,AAPL,M,2023-10-15,0.0
-4568,,2023-10-17,0000320193-23-000099,True,KONDO CHRIS,0,sec,AAPL,M,2023-10-15,0.0
-5272,,2023-10-17,0000320193-23-000099,False,KONDO CHRIS,39493,sec,AAPL,F,2023-10-15,178.85
10785,,2023-10-17,0000320193-23-000099,False,KONDO CHRIS,44765,sec,AAPL,M,2023-10-15,0.0
-12685,,2023-10-10,0000320193-23-000096,False,Maestri Luca,107661,sec,AAPL,S,2023-10-09,178.91
-19000,,2023-10-10,0000320193-23-000096,False,Maestri Luca,120346,sec,AAPL,S,2023-10-09,178.55
-69785,,2023-10-10,0000320193-23-000097,False,WILLIAMS JEFFREY E,489817,sec,AAPL,S,2023-10-06,177.0
-32010,,2023-10-10,0000320193-23-000096,False,Maestri Luca,139346,sec,AAPL,S,2023-10-06,177.89
-3926,,2023-10-03,0000320193-23-000092,False,O'BRIEN DEIRDRE,136445,sec,AAPL,S,2023-10-03,172.65
-61610,,2023-10-03,0000320193-23-000092,False,O'BRIEN DEIRDRE,140371,sec,AAPL,S,2023-10-03,172.08
-85682,,2023-10-03,0000320193-23-000089,False,COOK TIMOTHY D,3280053,sec,AAPL,S,2023-10-03,173.18
-99223,,2023-10-03,0000320193-23-000089,False,COOK TIMOTHY D,3365735,sec,AAPL,S,2023-10-03,172.52
-55664,,2023-10-03,0000320193-23-000089,False,COOK TIMOTHY D,3464958,sec,AAPL,S,2023-10-03,171.42
-6800,,2023-10-03,0000320193-23-000088,False,Adams Katherine L.,416714,sec,AAPL,S,2023-10-03,173.24
-32886,,2023-10-03,0000320193-23-000088,False,Adams Katherine L.,423514,sec,AAPL,S,2023-10-03,172.23
-25850,,2023-10-03,0000320193-23-000088,False,Adams Katherine L.,456400,sec,AAPL,S,2023-10-03,171.62
58408,,2023-10-03,0000320193-23-000091,True,Maestri Luca,58408,sec,AAPL,A,2023-10-01,0.0
58408,,2023-10-03,0000320193-23-000091,True,Maestri Luca,58408,sec,AAPL,A,2023-10-01,0.0
-136268,,2023-10-03,0000320193-23-000091,True,Maestri Luca,0,sec,AAPL,M,2023-10-01,0.0
-72573,,2023-10-03,0000320193-23-000091,False,Maestri Luca,171356,sec,AAPL,F,2023-10-01,171.21
136268,,2023-10-03,0000320193-23-000091,False,Maestri Luca,243929,sec,AAPL,M,2023-10-01,0.0
58408,,2023-10-03,0000320193-23-000093,True,WILLIAMS JEFFREY E,58408,sec,AAPL,A,2023-10-01,0.0
58408,,2023-10-03,0000320193-23-000093,True,WILLIAMS JEFFREY E,58408,sec,AAPL,A,2023-10-01,0.0
-136268,,2023-10-03,0000320193-23-000093,True,WILLIAMS JEFFREY E,0,sec,AAPL,M,2023-10-01,0.0
-66483,,2023-10-03,0000320193-23-000093,False,WILLIAMS JEFFREY E,559602,sec,AAPL,F,2023-10-01,171.21
136268,,2023-10-03,0000320193-23-000093,False,WILLIAMS JEFFREY E,626085,sec,AAPL,M,2023-10-01,0.0
58408,,2023-10-03,0000320193-23-000092,True,O'BRIEN DEIRDRE,58408,sec,AAPL,A,2023-10-01,0.0
58408,,2023-10-03,0000320193-23-000092,True,O'BRIEN DEIRDRE,58408,sec,AAPL,A,2023-10-01,0.0
-136268,,2023-10-03,0000320193-23-000092,True,O'BRIEN DEIRDRE,0,sec,AAPL,M,2023-10-01,0.0
-70732,,2023-10-03,0000320193-23-000092,False,O'BRIEN DEIRDRE,201981,sec,AAPL,F,2023-10-01,171.21
136268,,2023-10-03,0000320193-23-000092,False,O'BRIEN DEIRDRE,272713,sec,AAPL,M,2023-10-01,0.0
15187,,2023-10-03,0000320193-23-000090,True,KONDO CHRIS,15187,sec,AAPL,A,2023-10-01,0.0
219030,,2023-10-03,0000320193-23-000089,True,COOK TIMOTHY D,219030,sec,AAPL,A,2023-10-01,0.0
73010,,2023-10-03,0000320193-23-000089,True,COOK TIMOTHY D,73010,sec,AAPL,A,2023-10-01,0.0
-511000,,2023-10-03,0000320193-23-000089,True,COOK TIMOTHY D,0,sec,AAPL,M,2023-10-01,0.0
-270431,,2023-10-03,0000320193-23-000089,False,COOK TIMOTHY D,3520622,sec,AAPL,F,2023-10-01,171.21
511000,,2023-10-03,0000320193-23-000089,False,COOK TIMOTHY D,3791053,sec,AAPL,M,2023-10-01,0.0
58408,,2023-10-03,0000320193-23-000088,True,Adams Katherine L.,58408,sec,AAPL,A,2023-10-01,0.0
58408,,2023-10-03,0000320193-23-000088,True,Adams Katherine L.,58408,sec,AAPL,A,2023-10-01,0.0
-136268,,2023-10-03,0000320193-23-000088,True,Adams Katherine L.,0,sec,AAPL,M,2023-10-01,0.0
-70732,,2023-10-03,0000320193-23-000088,False,Adams Katherine L.,482250,sec,AAPL,F,2023-10-01,171.21
136268,,2023-10-03,0000320193-23-000088,False,Adams Katherine L.,552982,sec,AAPL,M,2023-10-01,0.0
-5600,,2023-09-19,0000320193-23-000081,False,Adams Katherine L.,416714,sec,AAPL,G,2023-08-08,0.0
-15419,,2023-08-08,0000320193-23-000079,False,O'BRIEN DEIRDRE,136445,sec,AAPL,S,2023-08-07,178.56
-31896,,2023-08-08,0000320193-23-000079,True,O'BRIEN DEIRDRE,0,sec,AAPL,M,2023-08-05,0.0
-16477,,2023-08-08,0000320193-23-000079,False,O'BRIEN DEIRDRE,151864,sec,AAPL,F,2023-08-05,181.99
31896,,2023-08-08,0000320193-23-000079,False,O'BRIEN DEIRDRE,168341,sec,AAPL,M,2023-08-05,0.0
