change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-18642,,2024-07-16,0000002488-24-000111,True,PENG VICTOR,0,sec,AMD,M,2024-07-12,0.0
-11848,,2024-07-16,0000002488-24-000111,True,PENG VICTOR,11849,sec,AMD,M,2024-07-12,0.0
-15118,,2024-07-16,0000002488-24-000111,False,PENG VICTOR,15372,sec,AMD,F,2024-07-12,181.61
30490,,2024-07-16,0000002488-24-000111,False,PENG VICTOR,30490,sec,AMD,M,2024-07-12,0.0
-35971,,2024-06-18,0000002488-24-000106,True,GUIDO PHILIP,0,sec,AMD,M,2024-06-15,0.0
-7493,,2024-06-18,0000002488-24-000106,True,GUIDO PHILIP,14989,sec,AMD,M,2024-06-15,0.0
-16316,,2024-06-18,0000002488-24-000106,False,GUIDO PHILIP,27275,sec,AMD,F,2024-06-15,159.63
43464,,2024-06-18,0000002488-24-000106,False,GUIDO PHILIP,43591,sec,AMD,M,2024-06-15,0.0
-16200,,2024-06-18,0000002488-24-000104,True,Papermaster Mark D,16756,sec,AMD,M,2024-06-14,0.0
-93,,2024-06-18,0000002488-24-000104,False,Papermaster Mark D,1546227,sec,AMD,S,2024-06-14,160.72
-2600,,2024-06-18,0000002488-24-000104,False,Papermaster Mark D,1546320,sec,AMD,S,2024-06-14,160.2
-7140,,2024-06-18,0000002488-24-000104,False,Papermaster Mark D,1548920,sec,AMD,S,2024-06-14,159.05
-6367,,2024-06-18,0000002488-24-000104,False,Papermaster Mark D,1556060,sec,AMD,S,2024-06-14,158.28
16200,,2024-06-18,0000002488-24-000104,False,Papermaster Mark D,1562427,sec,AMD,M,2024-06-14,12.83
-9141,,2024-06-13,0000002488-24-000102,False,VANDERSLICE ELIZABETH W,15859,sec,AMD,G,2024-06-11,0.0
-3307,,2024-06-12,0000002488-24-000100,False,Hu Jean X.,39506,sec,AMD,S,2024-06-10,162.38
-8310,,2024-06-12,0000002488-24-000100,False,Hu Jean X.,42813,sec,AMD,S,2024-06-10,161.66
-8383,,2024-06-12,0000002488-24-000100,False,Hu Jean X.,51123,sec,AMD,S,2024-06-10,160.75
-41411,,2024-06-11,0000002488-24-000098,False,Su Lisa T,2960666,sec,AMD,G,2024-06-07,0.0
-6500,,2024-06-10,0000002488-24-000096,False,Papermaster Mark D,1546227,sec,AMD,G,2024-06-06,0.0
-47577,,2024-06-07,0000002488-24-000094,True,Su Lisa T,0,sec,AMD,M,2024-06-05,0.0
-1890,,2024-06-07,0000002488-24-000094,False,Su Lisa T,3002077,sec,AMD,S,2024-06-05,166.88
-42028,,2024-06-07,0000002488-24-000094,False,Su Lisa T,3003967,sec,AMD,S,2024-06-05,166.07
-59453,,2024-06-07,0000002488-24-000094,False,Su Lisa T,3045995,sec,AMD,S,2024-06-05,165.3
-20156,,2024-06-07,0000002488-24-000094,False,Su Lisa T,3105448,sec,AMD,S,2024-06-05,164.35
-11446,,2024-06-07,0000002488-24-000094,False,Su Lisa T,3125604,sec,AMD,S,2024-06-05,162.99
-7757,,2024-06-07,0000002488-24-000094,False,Su Lisa T,3137050,sec,AMD,S,2024-06-05,162.07
47577,,2024-06-07,0000002488-24-000094,False,Su Lisa T,3144807,sec,AMD,M,2024-06-05,12.83
-1875,,2024-06-06,0000002488-24-000092,False,Papermaster Mark D,1552727,sec,AMD,G,2024-06-04,0.0
-2709,,2024-05-21,0000002488-24-000088,True,Olson Jon A,0,sec,AMD,M,2024-05-18,0.0
2709,,2024-05-21,0000002488-24-000088,False,Olson Jon A,5077,sec,AMD,M,2024-05-18,0.0
-2709,,2024-05-21,0000002488-24-000086,True,TALWALKAR ABHIJIT Y,0,sec,AMD,M,2024-05-18,0.0
2709,,2024-05-21,0000002488-24-000086,False,TALWALKAR ABHIJIT Y,20207,sec,AMD,M,2024-05-18,0.0
-2709,,2024-05-21,0000002488-24-000084,True,Denzel Nora,0,sec,AMD,M,2024-05-18,0.0
2709,,2024-05-21,0000002488-24-000084,False,Denzel Nora,93460,sec,AMD,M,2024-05-18,0.0
-2709,,2024-05-21,0000002488-24-000082,True,HOUSEHOLDER JOSEPH A,0,sec,AMD,M,2024-05-18,0.0
2709,,2024-05-21,0000002488-24-000082,False,HOUSEHOLDER JOSEPH A,4906,sec,AMD,M,2024-05-18,0.0
15324,,2024-05-17,0000002488-24-000080,False,PENG VICTOR,251590,sec,AMD,G,2024-05-16,0.0
-15324,,2024-05-17,0000002488-24-000080,False,PENG VICTOR,0,sec,AMD,G,2024-05-16,0.0
-16200,,2024-05-17,0000002488-24-000078,True,Papermaster Mark D,32956,sec,AMD,M,2024-05-15,0.0
-746,,2024-05-17,0000002488-24-000078,False,Papermaster Mark D,1554602,sec,AMD,S,2024-05-15,157.16
-12040,,2024-05-17,0000002488-24-000078,False,Papermaster Mark D,1555348,sec,AMD,S,2024-05-15,156.27
-3414,,2024-05-17,0000002488-24-000078,False,Papermaster Mark D,1567388,sec,AMD,S,2024-05-15,155.31
16200,,2024-05-17,0000002488-24-000078,False,Papermaster Mark D,1570802,sec,AMD,M,2024-05-15,12.83
1547,,2024-05-10,0000002488-24-000074,True,DURCAN DERMOT MARK,1547,sec,AMD,A,2024-05-08,0.0
1547,,2024-05-10,0000002488-24-000072,True,MARREN JOHN W,1547,sec,AMD,A,2024-05-08,0.0
1547,,2024-05-10,0000002488-24-000070,True,Denzel Nora,1547,sec,AMD,A,2024-05-08,0.0
1547,,2024-05-10,0000002488-24-000068,True,VANDERSLICE ELIZABETH W,1547,sec,AMD,A,2024-05-08,0.0
1547,,2024-05-10,0000002488-24-000066,True,TALWALKAR ABHIJIT Y,1547,sec,AMD,A,2024-05-08,0.0
1547,,2024-05-10,0000002488-24-000064,True,Olson Jon A,1547,sec,AMD,A,2024-05-08,0.0
