change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-1508,,2024-07-17,0001104659-24-080498,False,Johnson Cheryl H,18515,sec,CAT,S,2024-07-16,350.0
-505,,2024-07-17,0001104659-24-080354,False,De Lange Bob,70870,sec,CAT,G,2024-07-15,0.0
113,,2024-07-01,0001104659-24-076852,True,SCHWAB SUSAN C,18811,sec,CAT,A,2024-06-28,331.26
50,,2024-07-01,0001104659-24-076850,True,MacLennan David,95,sec,CAT,A,2024-06-28,331.26
34,,2024-06-27,0001104659-24-075573,True,Creed Joseph E,9058,sec,CAT,A,2024-06-26,326.73
29,,2024-06-27,0001104659-24-075572,True,Johnson Denise C,28821,sec,CAT,A,2024-06-26,326.73
517,,2024-06-13,0001104659-24-071183,False,MacLennan David,6260,sec,CAT,A,2024-06-12,328.73
517,,2024-06-13,0001104659-24-071182,False,Johnson Gerald,2730,sec,CAT,A,2024-06-12,328.73
517,,2024-06-13,0001104659-24-071181,False,WILKINS RAYFORD JR,7522,sec,CAT,A,2024-06-12,328.73
517,,2024-06-13,0001104659-24-071180,False,Fish James C Jr,5427,sec,CAT,A,2024-06-12,328.73
517,,2024-06-13,0001104659-24-071179,False,SCHWAB SUSAN C,10825,sec,CAT,A,2024-06-12,328.73
517,,2024-06-13,0001104659-24-071178,False,REED DEBRA L,12219,sec,CAT,A,2024-06-12,328.73
517,,2024-06-13,0001104659-24-071177,False,DICKINSON DANIEL M,6274,sec,CAT,A,2024-06-12,328.73
517,,2024-06-13,0001104659-24-071176,False,Marks Judith Fran,1227,sec,CAT,A,2024-06-12,328.73
-1508,,2024-05-31,0001104659-24-067037,False,Johnson Cheryl H,20023,sec,CAT,S,2024-05-30,340.0
32,,2024-05-28,0001104659-24-065535,True,Creed Joseph E,9043,sec,CAT,A,2024-05-24,348.9
15,,2024-05-28,0001104659-24-065534,True,Johnson Denise C,28852,sec,CAT,A,2024-05-24,348.9
100,,2024-05-22,0001104659-24-064287,False,Johnson Gerald,2213,sec,CAT,P,2024-05-20,356.4
-29834,,2024-05-14,0001104659-24-061054,True,De Lange Bob,0,sec,CAT,M,2024-05-13,95.66
-717,,2024-05-14,0001104659-24-061054,True,De Lange Bob,0,sec,CAT,M,2024-05-13,74.77
-21847,,2024-05-14,0001104659-24-061054,False,De Lange Bob,71115,sec,CAT,S,2024-05-13,356.9
-7987,,2024-05-14,0001104659-24-061054,False,De Lange Bob,92962,sec,CAT,F,2024-05-13,357.3
29834,,2024-05-14,0001104659-24-061054,False,De Lange Bob,100949,sec,CAT,M,2024-05-13,95.66
-373,,2024-05-14,0001104659-24-061054,False,De Lange Bob,71115,sec,CAT,F,2024-05-13,356.46
717,,2024-05-14,0001104659-24-061054,False,De Lange Bob,71488,sec,CAT,M,2024-05-13,74.77
-2931,,2024-05-08,0001104659-24-058321,True,DICKINSON DANIEL M,13886,sec,CAT,J,2024-05-06,341.12
500,,2024-05-06,0001104659-24-057273,False,MacLennan David,5738,sec,CAT,P,2024-05-03,337.39
-3736,,2024-05-07,0001104659-24-058136,True,DICKINSON DANIEL M,16818,sec,CAT,J,2024-05-01,334.62
3736,,2024-05-02,0001104659-24-056112,True,DICKINSON DANIEL M,16818,sec,CAT,J,2024-05-01,334.62
-4302,,2024-04-30,0001104659-24-055039,False,SCHWAB SUSAN C,10291,sec,CAT,D,2024-04-29,349.92
-8579,,2024-04-30,0001104659-24-055039,False,SCHWAB SUSAN C,14593,sec,CAT,D,2024-04-29,348.86
9,,2024-04-29,0001104659-24-053976,True,Creed Joseph E,8830,sec,CAT,A,2024-04-26,343.38
