change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
8133,,2024-07-17,0001127602-24-020595,False,STAR JAMES A,8133,sec,CHWY,A,2024-07-16,0.0
8133,,2024-07-17,0001127602-24-020585,False,Nelson James Larry,8133,sec,CHWY,A,2024-07-16,0.0
8133,,2024-07-17,0001127602-24-020590,False,Nesbitt Martin H.,8133,sec,CHWY,A,2024-07-16,0.0
8133,,2024-07-17,0001127602-24-020576,False,Dickson Kristine,8133,sec,CHWY,A,2024-07-16,0.0
-1338262,,2024-07-02,0000950170-24-080930,True,CIE Management IX Ltd,274646551,sec,CHWY,C,2024-07-01,0.0
-73101,,2024-07-02,0000950170-24-080930,False,CIE Management IX Ltd,0,sec,CHWY,S,2024-07-01,32.47
-188072,,2024-07-02,0000950170-24-080930,False,CIE Management IX Ltd,73101,sec,CHWY,S,2024-07-01,31.22
-753919,,2024-07-02,0000950170-24-080930,False,CIE Management IX Ltd,261173,sec,CHWY,S,2024-07-01,30.26
-323170,,2024-07-02,0000950170-24-080930,False,CIE Management IX Ltd,1015092,sec,CHWY,S,2024-07-01,29.44
1338262,,2024-07-02,0000950170-24-080930,False,CIE Management IX Ltd,1338262,sec,CHWY,C,2024-07-01,0.0
-5328543,,2024-06-28,0000950170-24-079120,True,CIE Management IX Ltd,275984813,sec,CHWY,C,2024-06-27,0.0
-29100,,2024-06-28,0000950170-24-079120,False,CIE Management IX Ltd,0,sec,CHWY,S,2024-06-27,33.0
-294380,,2024-06-28,0000950170-24-079120,False,CIE Management IX Ltd,29100,sec,CHWY,S,2024-06-27,32.39
-491042,,2024-06-28,0000950170-24-079120,False,CIE Management IX Ltd,323480,sec,CHWY,S,2024-06-27,31.41
-1923702,,2024-06-28,0000950170-24-079120,False,CIE Management IX Ltd,814522,sec,CHWY,S,2024-06-27,30.13
-2590319,,2024-06-28,0000950170-24-079120,False,CIE Management IX Ltd,2738224,sec,CHWY,S,2024-06-27,29.54
5328543,,2024-06-28,0000950170-24-079120,False,CIE Management IX Ltd,5328543,sec,CHWY,C,2024-06-27,0.0
-17550000,,2024-06-28,0000950170-24-079120,True,CIE Management IX Ltd,281313356,sec,CHWY,C,2024-06-26,0.0
-17550000,,2024-06-28,0000950170-24-079120,False,CIE Management IX Ltd,0,sec,CHWY,S,2024-06-26,28.49
17550000,,2024-06-28,0000950170-24-079120,False,CIE Management IX Ltd,17550000,sec,CHWY,C,2024-06-26,0.0
-2637,,2024-05-06,0001127602-24-014273,False,Singh Sumit,138274,sec,CHWY,S,2024-05-02,15.1228
-46090,,2024-05-06,0001127602-24-014273,False,Singh Sumit,1379100,sec,CHWY,S,2024-05-02,15.1228
-8019,,2024-05-06,0001127602-24-014268,False,Mehta Satish,569594,sec,CHWY,S,2024-05-02,15.1228
76685,,2024-04-08,0001127602-24-012673,False,Singh Sumit,76685,sec,CHWY,A,2024-04-04,0.0
829793,,2024-04-08,0001127602-24-012673,False,Singh Sumit,829793,sec,CHWY,A,2024-04-04,0.0
991392,,2024-04-08,0001127602-24-012671,False,Reeder David,991392,sec,CHWY,A,2024-04-04,0.0
311125,,2024-04-08,0001127602-24-012671,False,Reeder David,311125,sec,CHWY,A,2024-04-04,0.0
156744,,2024-04-08,0001127602-24-012669,False,Mehta Satish,156744,sec,CHWY,A,2024-04-04,0.0
24518,,2024-04-08,0001127602-24-012667,False,Bowman Stacy,24518,sec,CHWY,A,2024-04-04,0.0
-6728,,2024-04-04,0001127602-24-012476,False,Singh Sumit,129991,sec,CHWY,S,2024-04-02,15.5276
-8025,,2024-04-04,0001127602-24-012473,False,Bowman Stacy,243769,sec,CHWY,S,2024-04-02,15.5276
22121,,2024-03-26,0001127602-24-011199,False,Singh Sumit,22121,sec,CHWY,A,2024-03-22,0.0
321694,,2024-03-26,0001127602-24-011199,False,Singh Sumit,321694,sec,CHWY,A,2024-03-22,0.0
64931,,2024-03-26,0001127602-24-011197,False,Mehta Satish,64931,sec,CHWY,A,2024-03-22,0.0
4565,,2024-03-26,0001127602-24-011195,False,Bowman Stacy,4565,sec,CHWY,A,2024-03-22,0.0
-527,,2024-03-06,0001127602-24-008791,False,Singh Sumit,109759,sec,CHWY,S,2024-03-04,17.7944
-604,,2024-03-06,0001127602-24-008789,False,Bowman Stacy,219631,sec,CHWY,S,2024-03-04,17.7944
-3457,,2024-02-06,0001127602-24-003565,False,Singh Sumit,108112,sec,CHWY,S,2024-02-02,17.7
-192642,,2024-02-06,0001127602-24-003565,False,Singh Sumit,1307025,sec,CHWY,S,2024-02-02,17.7
-40523,,2024-02-06,0001127602-24-003561,False,Mehta Satish,557058,sec,CHWY,S,2024-02-02,17.7
-1120,,2024-02-06,0001127602-24-003557,False,Bowman Stacy,217742,sec,CHWY,S,2024-02-02,17.7
21840,,2024-01-22,0001127602-24-001805,False,Singh Sumit,21840,sec,CHWY,A,2024-01-18,0.0
1074236,,2024-01-22,0001127602-24-001805,False,Singh Sumit,1074236,sec,CHWY,A,2024-01-18,0.0
268078,,2024-01-22,0001127602-24-001805,False,Singh Sumit,268078,sec,CHWY,A,2024-01-18,0.0
41110,,2024-01-22,0001127602-24-001800,False,Mehta Satish,41110,sec,CHWY,A,2024-01-18,0.0
-12325000,,2024-01-11,0000950170-24-004086,True,CIE Management IX Ltd,298863356,sec,CHWY,C,2024-01-09,0.0
-12325000,,2024-01-11,0000950170-24-004086,False,CIE Management IX Ltd,0,sec,CHWY,S,2024-01-09,20.29
12325000,,2024-01-11,0000950170-24-004086,False,CIE Management IX Ltd,12325000,sec,CHWY,C,2024-01-09,0.0
12242,,2023-12-18,0001127602-23-029815,False,STAR JAMES A,141790,sec,CHWY,P,2023-12-14,20.3822
15353,,2023-12-14,0001127602-23-029619,False,STAR JAMES A,129548,sec,CHWY,P,2023-12-12,19.6048
-11423,,2023-10-19,0001127602-23-026090,False,Bowman Stacy,215116,sec,CHWY,S,2023-10-18,18.24
-785,,2023-09-07,0001127602-23-023847,False,Singh Sumit,98916,sec,CHWY,S,2023-09-05,24.9964
-900,,2023-09-07,0001127602-23-023844,False,Bowman Stacy,226539,sec,CHWY,S,2023-09-05,24.9964
-189,,2023-08-04,0001127602-23-022009,False,Morant Michael,41282,sec,CHWY,S,2023-08-02,32.6195
-434,,2023-08-04,0001127602-23-022005,False,Singh Sumit,97624,sec,CHWY,S,2023-08-02,32.6195
-465,,2023-08-04,0001127602-23-022003,False,Bowman Stacy,225057,sec,CHWY,S,2023-08-02,32.6195
-15166,,2023-07-27,0001127602-23-021416,False,Bowman Stacy,224389,sec,CHWY,S,2023-07-26,33.52
