change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-150,,2024-07-16,0001415889-24-019604,True,Kumar Rachana,21676,sec,ETSY,M,2024-07-12,0.0
-250,,2024-07-16,0001415889-24-019604,False,Kumar Rachana,21939,sec,ETSY,S,2024-07-12,60.0
150,,2024-07-16,0001415889-24-019604,False,Kumar Rachana,22189,sec,ETSY,M,2024-07-12,41.65
-5111,,2024-07-03,0001415889-24-019199,True,Glaser Rachel C,76675,sec,ETSY,M,2024-07-01,0.0
-2827,,2024-07-03,0001415889-24-019199,False,Glaser Rachel C,77583,sec,ETSY,F,2024-07-01,57.01
5111,,2024-07-03,0001415889-24-019199,False,Glaser Rachel C,80410,sec,ETSY,M,2024-07-01,0.0
-3908,,2024-07-03,0001415889-24-019194,True,Daniel Nicholas,58634,sec,ETSY,M,2024-07-01,0.0
-2,,2024-07-03,0001415889-24-019194,False,Daniel Nicholas,19583,sec,ETSY,S,2024-07-01,59.18
-126,,2024-07-03,0001415889-24-019194,False,Daniel Nicholas,19585,sec,ETSY,S,2024-07-01,58.61
-622,,2024-07-03,0001415889-24-019194,False,Daniel Nicholas,19711,sec,ETSY,S,2024-07-01,57.17
-1757,,2024-07-03,0001415889-24-019194,False,Daniel Nicholas,20333,sec,ETSY,F,2024-07-01,57.01
3908,,2024-07-03,0001415889-24-019194,False,Daniel Nicholas,22090,sec,ETSY,M,2024-07-01,0.0
-4209,,2024-07-03,0001415889-24-019196,True,Stretch Colin,63144,sec,ETSY,M,2024-07-01,0.0
-2149,,2024-07-03,0001415889-24-019196,False,Stretch Colin,6924,sec,ETSY,F,2024-07-01,57.01
4209,,2024-07-03,0001415889-24-019196,False,Stretch Colin,9073,sec,ETSY,M,2024-07-01,0.0
-7302,,2024-07-03,0001415889-24-019200,True,Silverman Josh,109536,sec,ETSY,M,2024-07-01,0.0
-4039,,2024-07-03,0001415889-24-019200,False,Silverman Josh,53095,sec,ETSY,F,2024-07-01,57.01
7302,,2024-07-03,0001415889-24-019200,False,Silverman Josh,57134,sec,ETSY,M,2024-07-01,0.0
-4209,,2024-07-03,0001415889-24-019198,True,Kumar Rachana,63144,sec,ETSY,M,2024-07-01,0.0
-2149,,2024-07-03,0001415889-24-019198,False,Kumar Rachana,22039,sec,ETSY,F,2024-07-01,57.01
4209,,2024-07-03,0001415889-24-019198,False,Kumar Rachana,24188,sec,ETSY,M,2024-07-01,0.0
-4510,,2024-07-03,0001415889-24-019197,True,MOSKOWITZ RAINA,67654,sec,ETSY,M,2024-07-01,0.0
-2495,,2024-07-03,0001415889-24-019197,False,MOSKOWITZ RAINA,38997,sec,ETSY,F,2024-07-01,57.01
