change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-474,,2024-07-16,0000950170-24-084027,False,HENNESSY JOHN L,30824,sec,GOOGL,S,2024-07-12,186.4137
-1026,,2024-07-16,0000950170-24-084027,False,HENNESSY JOHN L,31298,sec,GOOGL,S,2024-07-12,185.59
1953,,2024-07-05,0000950170-24-081916,False,Washington Robin L,1953,sec,GOOGL,A,2024-07-03,0.0
1953,,2024-07-05,0000950170-24-081914,False,Shriram Kavitark Ram,1953,sec,GOOGL,A,2024-07-03,0.0
2790,,2024-07-05,0000950170-24-081911,False,HENNESSY JOHN L,2790,sec,GOOGL,A,2024-07-03,0.0
1953,,2024-07-05,0000950170-24-081909,False,Ferguson Roger W. Jr.,1953,sec,GOOGL,A,2024-07-03,0.0
1953,,2024-07-05,0000950170-24-081905,False,DOERR L JOHN,1953,sec,GOOGL,A,2024-07-03,0.0
1953,,2024-07-05,0000950170-24-081827,False,CHAVEZ R. MARTIN,1953,sec,GOOGL,A,2024-07-03,0.0
1953,,2024-07-05,0000950170-24-081819,False,ARNOLD FRANCES,1953,sec,GOOGL,A,2024-07-03,0.0
-13525,,2024-07-03,0000950170-24-081571,False,Pichai Sundar,2227385,sec,GOOGL,S,2024-07-03,187.1807
-8975,,2024-07-03,0000950170-24-081571,False,Pichai Sundar,2240910,sec,GOOGL,S,2024-07-03,186.0868
-682,,2024-07-02,0000950170-24-080932,False,O'Toole Amie Thuener,30650,sec,GOOGL,S,2024-07-02,183.47
-24168,,2024-07-02,0000950170-24-080252,False,RAGHAVAN PRABHAKAR,3271,sec,GOOGL,G,2024-07-02,0.0
24168,,2024-07-02,0000950170-24-080252,False,RAGHAVAN PRABHAKAR,346467,sec,GOOGL,G,2024-07-02,0.0
-100,,2024-07-02,0000950170-24-080252,False,RAGHAVAN PRABHAKAR,9,sec,GOOGL,S,2024-07-01,185.14
-1662,,2024-07-02,0000950170-24-080252,False,RAGHAVAN PRABHAKAR,109,sec,GOOGL,S,2024-07-01,184.285
-1500,,2024-07-02,0000950170-24-080252,False,RAGHAVAN PRABHAKAR,1771,sec,GOOGL,S,2024-07-01,183.584
-7128,,2024-06-27,0000950170-24-078703,False,Porat Ruth,84721,sec,GOOGL,F,2024-06-25,180.79
-6992,,2024-06-27,0000950170-24-078703,False,Porat Ruth,91849,sec,GOOGL,C,2024-06-25,0.0
-5205,,2024-06-27,0000950170-24-078703,False,Porat Ruth,20624,sec,GOOGL,F,2024-06-25,180.79
-5106,,2024-06-27,0000950170-24-078703,False,Porat Ruth,25829,sec,GOOGL,C,2024-06-25,0.0
-9551,,2024-06-27,0000950170-24-078703,False,Porat Ruth,94607,sec,GOOGL,F,2024-06-25,180.79
-9370,,2024-06-27,0000950170-24-078703,False,Porat Ruth,104158,sec,GOOGL,C,2024-06-25,0.0
21468,,2024-06-27,0000950170-24-078703,False,Porat Ruth,1810659,sec,GOOGL,C,2024-06-25,0.0
-1392,,2024-06-27,0000950170-24-078628,False,O'Toole Amie Thuener,22062,sec,GOOGL,F,2024-06-25,180.79
-1366,,2024-06-27,0000950170-24-078628,False,O'Toole Amie Thuener,23454,sec,GOOGL,C,2024-06-25,0.0
1366,,2024-06-27,0000950170-24-078628,False,O'Toole Amie Thuener,31332,sec,GOOGL,C,2024-06-25,0.0
-12205,,2024-06-27,0000950170-24-078601,False,RAGHAVAN PRABHAKAR,120886,sec,GOOGL,F,2024-06-25,180.79
-11972,,2024-06-27,0000950170-24-078601,False,RAGHAVAN PRABHAKAR,133091,sec,GOOGL,C,2024-06-25,0.0
-9108,,2024-06-27,0000950170-24-078601,False,RAGHAVAN PRABHAKAR,108255,sec,GOOGL,F,2024-06-25,180.79
-8935,,2024-06-27,0000950170-24-078601,False,RAGHAVAN PRABHAKAR,117363,sec,GOOGL,C,2024-06-25,0.0
-6651,,2024-06-27,0000950170-24-078601,False,RAGHAVAN PRABHAKAR,26349,sec,GOOGL,F,2024-06-25,180.79
-6524,,2024-06-27,0000950170-24-078601,False,RAGHAVAN PRABHAKAR,33000,sec,GOOGL,C,2024-06-25,0.0
27432,,2024-06-27,0000950170-24-078601,False,RAGHAVAN PRABHAKAR,27439,sec,GOOGL,C,2024-06-25,0.0
-9551,,2024-06-27,0000950170-24-078388,False,WALKER JOHN KENT,94607,sec,GOOGL,F,2024-06-25,180.79
-9370,,2024-06-27,0000950170-24-078388,False,WALKER JOHN KENT,104158,sec,GOOGL,C,2024-06-25,0.0
-7128,,2024-06-27,0000950170-24-078388,False,WALKER JOHN KENT,84721,sec,GOOGL,F,2024-06-25,180.79
-6992,,2024-06-27,0000950170-24-078388,False,WALKER JOHN KENT,91849,sec,GOOGL,C,2024-06-25,0.0
-5205,,2024-06-27,0000950170-24-078388,False,WALKER JOHN KENT,20624,sec,GOOGL,F,2024-06-25,180.79
-5106,,2024-06-27,0000950170-24-078388,False,WALKER JOHN KENT,25829,sec,GOOGL,C,2024-06-25,0.0
21468,,2024-06-27,0000950170-24-078388,False,WALKER JOHN KENT,44963,sec,GOOGL,C,2024-06-25,0.0
