change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-177,,2024-07-16,0001062993-24-013850,False,Jolla Alice L.,53887,sec,MSFT,F,2024-07-15,453.55
5,,2024-06-14,0001062993-24-012673,True,Rodriguez Carlos A,3166,sec,MSFT,A,2024-06-13,0.0
21,,2024-06-14,0001062993-24-012672,True,PRITZKER PENNY S,12324,sec,MSFT,A,2024-06-13,0.0
40,,2024-06-14,0001062993-24-012671,True,PETERSON SANDRA E,23803,sec,MSFT,A,2024-06-13,0.0
1,,2024-06-14,0001062993-24-012670,True,MacGregor Catherine,440,sec,MSFT,A,2024-06-13,0.0
39,,2024-06-14,0001062993-24-012669,True,List Teri,22716,sec,MSFT,A,2024-06-13,0.0
0,,2024-06-14,0001062993-24-012668,True,Johnston Hugh F,239,sec,MSFT,A,2024-06-13,0.0
25,,2024-06-14,0001062993-24-012667,True,Hoffman Reid,15035,sec,MSFT,A,2024-06-13,0.0
0,,2024-06-14,0001062993-24-012674,True,Walmsley Emma N,139,sec,MSFT,A,2024-06-07,0.0
139,,2024-06-07,0001062993-24-012243,True,Walmsley Emma N,139,sec,MSFT,A,2024-06-07,0.0
138,,2024-06-07,0001062993-24-012242,False,STANTON JOHN W,77944,sec,MSFT,A,2024-06-07,0.0
138,,2024-06-07,0001062993-24-012241,False,SCHARF CHARLES W,43931,sec,MSFT,A,2024-06-07,0.0
242,,2024-06-07,0001062993-24-012240,True,Rodriguez Carlos A,3161,sec,MSFT,A,2024-06-07,0.0
227,,2024-06-07,0001062993-24-012239,True,PRITZKER PENNY S,12303,sec,MSFT,A,2024-06-07,0.0
251,,2024-06-07,0001062993-24-012238,True,PETERSON SANDRA E,23762,sec,MSFT,A,2024-06-07,0.0
138,,2024-06-07,0001062993-24-012237,False,Mason Mark,714,sec,MSFT,A,2024-06-07,0.0
212,,2024-06-07,0001062993-24-012236,True,MacGregor Catherine,439,sec,MSFT,A,2024-06-07,0.0
138,,2024-06-07,0001062993-24-012235,False,List Teri,138,sec,MSFT,A,2024-06-07,0.0
239,,2024-06-07,0001062993-24-012234,True,Johnston Hugh F,239,sec,MSFT,A,2024-06-07,0.0
212,,2024-06-07,0001062993-24-012233,True,Hoffman Reid,15009,sec,MSFT,A,2024-06-07,0.0
7199,,2024-06-07,0001062993-24-012232,False,Nadella Satya,7199,sec,MSFT,G,2024-06-05,0.0
7199,,2024-06-07,0001062993-24-012232,False,Nadella Satya,7199,sec,MSFT,G,2024-06-05,0.0
-16996,,2024-06-07,0001062993-24-012232,False,Nadella Satya,0,sec,MSFT,G,2024-06-05,0.0
-244,,2024-06-04,0001062993-24-011886,False,Numoto Takeshi,47011,sec,MSFT,S,2024-06-03,415.53
-322,,2024-06-04,0001062993-24-011886,False,Numoto Takeshi,47255,sec,MSFT,S,2024-05-31,416.6
-159,,2024-06-03,0001062993-24-011677,False,Numoto Takeshi,47577,sec,MSFT,F,2024-05-31,414.67
-392,,2024-06-03,0001062993-24-011676,False,Jolla Alice L.,67967,sec,MSFT,F,2024-05-31,414.67
-210,,2024-06-03,0001062993-24-011677,False,Numoto Takeshi,47707,sec,MSFT,F,2024-05-30,429.17
-60,,2024-06-03,0001062993-24-011676,False,Jolla Alice L.,68359,sec,MSFT,F,2024-05-30,429.17
-25000,,2024-05-24,0001062993-24-011261,False,Althoff Judson,104949,sec,MSFT,S,2024-05-23,425.678
-177,,2024-04-16,0001062993-24-008453,False,Jolla Alice L.,68419,sec,MSFT,F,2024-04-15,421.9
5,,2024-03-15,0001062993-24-006558,True,Rodriguez Carlos A,2919,sec,MSFT,A,2024-03-14,0.0
21,,2024-03-15,0001062993-24-006557,True,PRITZKER PENNY S,12076,sec,MSFT,A,2024-03-14,0.0
41,,2024-03-15,0001062993-24-006556,True,PETERSON SANDRA E,23512,sec,MSFT,A,2024-03-14,0.0
0,,2024-03-15,0001062993-24-006555,True,MacGregor Catherine,227,sec,MSFT,A,2024-03-14,0.0
40,,2024-03-15,0001062993-24-006554,True,List Teri,22678,sec,MSFT,A,2024-03-14,0.0
26,,2024-03-15,0001062993-24-006553,True,Hoffman Reid,14797,sec,MSFT,A,2024-03-14,0.0
-21955,,2024-03-12,0001062993-24-006298,False,Hogan Kathleen T,159764,sec,MSFT,S,2024-03-11,403.96
-10000,,2024-03-12,0001062993-24-006297,False,Althoff Judson,129949,sec,MSFT,S,2024-03-11,403.649
-1276,,2024-03-04,0001062993-24-005288,False,Nadella Satya,801331,sec,MSFT,S,2024-03-01,410.94
-2807,,2024-03-04,0001062993-24-005291,False,Young Christopher David,106640,sec,MSFT,F,2024-02-29,407.72
-4077,,2024-03-04,0001062993-24-005290,False,SMITH BRADFORD L,566750,sec,MSFT,F,2024-02-29,407.72
-1377,,2024-03-04,0001062993-24-005289,False,Numoto Takeshi,47917,sec,MSFT,F,2024-02-29,407.72
-1551,,2024-03-04,0001062993-24-005288,False,Nadella Satya,802607,sec,MSFT,F,2024-02-29,407.72
-453,,2024-03-04,0001062993-24-005287,False,Jolla Alice L.,68596,sec,MSFT,F,2024-02-29,407.72
-4664,,2024-03-04,0001062993-24-005286,False,Hood Amy,516451,sec,MSFT,F,2024-02-29,407.72
-1922,,2024-03-04,0001062993-24-005285,False,Hogan Kathleen T,181719,sec,MSFT,F,2024-02-29,407.72
-3038,,2024-03-04,0001062993-24-005284,False,Althoff Judson,139949,sec,MSFT,F,2024-02-29,407.72
-300,,2024-02-06,0001062993-24-002112,False,SMITH BRADFORD L,570826,sec,MSFT,S,2024-02-05,410.2233
-200,,2024-02-06,0001062993-24-002112,False,SMITH BRADFORD L,571126,sec,MSFT,S,2024-02-05,408.1
-300,,2024-02-06,0001062993-24-002112,False,SMITH BRADFORD L,571326,sec,MSFT,S,2024-02-05,406.8433
-1425,,2024-02-06,0001062993-24-002112,False,SMITH BRADFORD L,571626,sec,MSFT,S,2024-02-05,405.7466
-1078,,2024-02-06,0001062993-24-002112,False,SMITH BRADFORD L,573051,sec,MSFT,S,2024-02-05,404.8921
-45000,,2024-02-06,0001062993-24-002112,False,SMITH BRADFORD L,574129,sec,MSFT,S,2024-02-02,411.7784
148,,2024-02-01,0001062993-24-001775,False,List Teri,148,sec,MSFT,A,2024-01-31,0.0
148,,2024-02-01,0001062993-24-001774,False,Johnston Hugh F,7750,sec,MSFT,A,2024-01-31,0.0
226,,2024-02-01,0001062993-24-001773,True,Hoffman Reid,14771,sec,MSFT,A,2024-01-31,0.0
-44,,2024-02-01,0001062993-24-001772,False,Walmsley Emma N,9914,sec,MSFT,F,2024-01-31,397.58
148,,2024-02-01,0001062993-24-001772,False,Walmsley Emma N,9958,sec,MSFT,A,2024-01-31,0.0
148,,2024-02-01,0001062993-24-001771,False,STANTON JOHN W,77806,sec,MSFT,A,2024-01-31,0.0
148,,2024-02-01,0001062993-24-001770,False,SCHARF CHARLES W,43793,sec,MSFT,A,2024-01-31,0.0
258,,2024-02-01,0001062993-24-001769,True,Rodriguez Carlos A,2914,sec,MSFT,A,2024-01-31,0.0
242,,2024-02-01,0001062993-24-001768,True,PRITZKER PENNY S,12055,sec,MSFT,A,2024-01-31,0.0
267,,2024-02-01,0001062993-24-001767,True,PETERSON SANDRA E,23470,sec,MSFT,A,2024-01-31,0.0
147,,2024-02-01,0001062993-24-001766,False,Mason Mark,576,sec,MSFT,A,2024-01-31,0.0
226,,2024-02-01,0001062993-24-001765,True,MacGregor Catherine,226,sec,MSFT,A,2024-01-31,0.0
-198,,2024-01-16,0001062993-24-000918,False,Jolla Alice L.,69049,sec,MSFT,F,2024-01-16,388.47
-120,,2023-12-29,0001062993-23-023299,False,Hogan Kathleen T,183641,sec,MSFT,G,2023-12-26,0.0
-264,,2023-12-15,0001062993-23-022684,False,Jolla Alice L.,69246,sec,MSFT,F,2023-12-15,365.93
47,,2023-12-15,0001062993-23-022679,True,PETERSON SANDRA E,23203,sec,MSFT,A,2023-12-14,0.0
0,,2023-12-15,0001062993-23-022683,True,WARRIOR PADMASREE,136,sec,MSFT,A,2023-12-14,0.0
9,,2023-12-15,0001062993-23-022683,True,WARRIOR PADMASREE,4195,sec,MSFT,A,2023-12-14,0.0
88,,2023-12-15,0001062993-23-022682,True,THOMPSON JOHN WENDELL,42846,sec,MSFT,A,2023-12-14,0.0
55,,2023-12-15,0001062993-23-022682,True,THOMPSON JOHN WENDELL,26727,sec,MSFT,A,2023-12-14,0.0
5,,2023-12-15,0001062993-23-022681,True,Rodriguez Carlos A,2656,sec,MSFT,A,2023-12-14,0.0
24,,2023-12-15,0001062993-23-022680,True,PRITZKER PENNY S,11812,sec,MSFT,A,2023-12-14,0.0
46,,2023-12-15,0001062993-23-022678,True,List Teri,22638,sec,MSFT,A,2023-12-14,0.0
30,,2023-12-15,0001062993-23-022677,True,Hoffman Reid,14544,sec,MSFT,A,2023-12-14,0.0
-24681,,2023-12-11,0001062993-23-022364,False,Hogan Kathleen T,183761,sec,MSFT,S,2023-12-08,369.0
-48,,2023-12-07,0001062993-23-022112,False,Walmsley Emma N,9810,sec,MSFT,F,2023-12-06,368.8
159,,2023-12-07,0001062993-23-022112,False,Walmsley Emma N,9858,sec,MSFT,A,2023-12-06,0.0
42,,2023-12-07,0001062993-23-022111,True,WARRIOR PADMASREE,136,sec,MSFT,A,2023-12-06,0.0
159,,2023-12-07,0001062993-23-022111,False,WARRIOR PADMASREE,13800,sec,MSFT,A,2023-12-06,0.0
159,,2023-12-07,0001062993-23-022108,True,THOMPSON JOHN WENDELL,42759,sec,MSFT,A,2023-12-06,0.0
159,,2023-12-07,0001062993-23-022106,False,STANTON JOHN W,77659,sec,MSFT,A,2023-12-06,0.0
159,,2023-12-07,0001062993-23-022104,False,SCHARF CHARLES W,43645,sec,MSFT,A,2023-12-06,0.0
278,,2023-12-07,0001062993-23-022102,True,Rodriguez Carlos A,2651,sec,MSFT,A,2023-12-06,0.0
261,,2023-12-07,0001062993-23-022100,True,PRITZKER PENNY S,11788,sec,MSFT,A,2023-12-06,0.0
288,,2023-12-07,0001062993-23-022098,True,PETERSON SANDRA E,23156,sec,MSFT,A,2023-12-06,0.0
159,,2023-12-07,0001062993-23-022096,False,List Teri,159,sec,MSFT,A,2023-12-06,0.0
159,,2023-12-07,0001062993-23-022093,False,Johnston Hugh F,7602,sec,MSFT,A,2023-12-06,0.0
244,,2023-12-07,0001062993-23-022091,True,Hoffman Reid,14515,sec,MSFT,A,2023-12-06,0.0
-10000,,2023-12-01,0001062993-23-021748,False,SMITH BRADFORD L,619129,sec,MSFT,G,2023-12-01,0.0
-452,,2023-12-01,0001062993-23-021746,False,Jolla Alice L.,69511,sec,MSFT,F,2023-11-30,378.85
-368,,2023-12-01,0001062993-23-021744,False,Numoto Takeshi,49293,sec,MSFT,F,2023-11-30,378.85
-11500,,2023-11-14,0001062993-23-020838,False,Althoff Judson,142986,sec,MSFT,S,2023-11-13,367.377
-10303,,2023-11-14,0001062993-23-020839,False,Young Christopher David,109447,sec,MSFT,F,2023-11-13,369.67
-1162,,2023-11-02,0001062993-23-020063,False,Nadella Satya,804158,sec,MSFT,G,2023-11-01,0.0
-177,,2023-10-17,0001062993-23-019483,False,Jolla Alice L.,69963,sec,MSFT,F,2023-10-16,327.73
11442,,2023-09-19,0001062993-23-018292,False,Young Christopher David,119699,sec,MSFT,A,2023-09-18,0.0
23646,,2023-09-19,0001062993-23-018291,False,SMITH BRADFORD L,629124,sec,MSFT,A,2023-09-18,0.0
26697,,2023-09-19,0001062993-23-018290,False,Hood Amy,521115,sec,MSFT,A,2023-09-18,0.0
10069,,2023-09-19,0001062993-23-018289,False,Hogan Kathleen T,208442,sec,MSFT,A,2023-09-18,0.0
25385,,2023-09-19,0001062993-23-018288,False,Althoff Judson,154486,sec,MSFT,A,2023-09-18,0.0
8,,2023-09-15,0001062993-23-018094,True,WARRIOR PADMASREE,4187,sec,MSFT,A,2023-09-14,0.0
