change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
36833,,2024-09-19,0001127602-24-024244,True,Miller Ann M,36833,sec,NKE,A,2024-09-18,0.0
36833,,2024-09-19,0001127602-24-024239,True,Matheson Monique S.,36833,sec,NKE,A,2024-09-18,0.0
73665,,2024-09-19,0001127602-24-024236,True,williams craig a.,73665,sec,NKE,A,2024-09-18,0.0
73665,,2024-09-19,0001127602-24-024230,True,O'NEILL HEIDI,73665,sec,NKE,A,2024-09-18,0.0
49110,,2024-09-19,0001127602-24-024227,True,Friend Matthew,49110,sec,NKE,A,2024-09-18,0.0
2437,,2024-09-11,0001127602-24-023800,False,SWAN ROBERT HOLMES,23383,sec,NKE,A,2024-09-10,0.0
2437,,2024-09-11,0001127602-24-023798,False,Benko Cathleen A,15360,sec,NKE,A,2024-09-10,0.0
2437,,2024-09-11,0001127602-24-023796,False,COOK TIMOTHY D,52861,sec,NKE,A,2024-09-10,0.0
2437,,2024-09-11,0001127602-24-023794,False,Duckett Thasunda,10970,sec,NKE,A,2024-09-10,0.0
2437,,2024-09-11,0001127602-24-023792,False,Gil Monica,6274,sec,NKE,A,2024-09-10,0.0
2437,,2024-09-11,0001127602-24-023789,False,HENRY MARIA,6148,sec,NKE,A,2024-09-10,0.0
2437,,2024-09-11,0001127602-24-023787,False,Henry Peter B.,8480,sec,NKE,A,2024-09-10,0.0
2437,,2024-09-11,0001127602-24-023784,False,Knight Travis A,1656321,sec,NKE,A,2024-09-10,0.0
2437,,2024-09-11,0001127602-24-023780,False,PELUSO MICHELLE A,30195,sec,NKE,A,2024-09-10,0.0
2437,,2024-09-11,0001127602-24-023778,False,ROGERS JOHN W JR,31903,sec,NKE,A,2024-09-10,0.0
117549,,2024-09-04,0001127602-24-023504,True,Friend Matthew,117549,sec,NKE,A,2024-09-01,0.0
15002,,2024-09-04,0001127602-24-023504,False,Friend Matthew,31816,sec,NKE,A,2024-09-01,0.0
279178,,2024-09-04,0001127602-24-023503,True,Donahoe John J,279178,sec,NKE,A,2024-09-01,0.0
35630,,2024-09-04,0001127602-24-023503,False,Donahoe John J,189582,sec,NKE,A,2024-09-01,0.0
83964,,2024-09-04,0001127602-24-023501,True,PARKER MARK G,83964,sec,NKE,A,2024-09-01,0.0
80815,,2024-09-04,0001127602-24-023487,True,Matheson Monique S.,80815,sec,NKE,A,2024-09-01,0.0
10314,,2024-09-04,0001127602-24-023487,False,Matheson Monique S.,51595,sec,NKE,A,2024-09-01,0.0
80815,,2024-09-04,0001127602-24-023443,True,Miller Ann M,80815,sec,NKE,A,2024-09-01,0.0
10314,,2024-09-04,0001127602-24-023443,False,Miller Ann M,37599,sec,NKE,A,2024-09-01,0.0
21004,,2024-09-04,0001127602-24-023410,True,Nielsen Johanna,21004,sec,NKE,A,2024-09-01,0.0
117549,,2024-09-04,0001127602-24-023401,True,O'NEILL HEIDI,117549,sec,NKE,A,2024-09-01,0.0
15002,,2024-09-04,0001127602-24-023401,False,O'NEILL HEIDI,94450,sec,NKE,A,2024-09-01,0.0
117549,,2024-09-04,0001127602-24-023397,True,williams craig a.,117549,sec,NKE,A,2024-09-01,0.0
15002,,2024-09-04,0001127602-24-023397,False,williams craig a.,96960,sec,NKE,A,2024-09-01,0.0
-52487,,2024-08-15,0001127602-24-022261,False,PARKER MARK G,1031226,sec,NKE,S,2024-08-14,78.0
