change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-100,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78774995,sec,NVDA,S,2024-07-16,129.01
-12590,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78775095,sec,NVDA,S,2024-07-16,128.4396
-9695,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78787685,sec,NVDA,S,2024-07-16,127.7808
-48576,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78797380,sec,NVDA,S,2024-07-16,126.3402
-47007,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78845956,sec,NVDA,S,2024-07-16,125.6945
-2032,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78892963,sec,NVDA,S,2024-07-16,124.8385
-1214,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78894995,sec,NVDA,S,2024-07-15,131.1704
-18681,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78896209,sec,NVDA,S,2024-07-15,130.3399
-31099,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78914890,sec,NVDA,S,2024-07-15,129.4782
-47986,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78945989,sec,NVDA,S,2024-07-15,128.4358
-21020,,2024-07-17,0001045810-24-000226,False,HUANG JEN HSUN,78993975,sec,NVDA,S,2024-07-15,127.7886
-156023,,2024-07-15,0001045810-24-000221,False,STEVENS MARK A,8585217,sec,NVDA,S,2024-07-12,129.8146
-19610,,2024-07-15,0001045810-24-000220,False,Puri Ajay K,3939350,sec,NVDA,S,2024-07-12,131.4041
-39651,,2024-07-15,0001045810-24-000220,False,Puri Ajay K,3958960,sec,NVDA,S,2024-07-12,130.492
-26323,,2024-07-15,0001045810-24-000220,False,Puri Ajay K,3998611,sec,NVDA,S,2024-07-12,129.5391
-9996,,2024-07-15,0001045810-24-000220,False,Puri Ajay K,4024934,sec,NVDA,S,2024-07-12,128.4859
-4530,,2024-07-15,0001045810-24-000220,False,Puri Ajay K,4034930,sec,NVDA,S,2024-07-12,127.7646
-19923,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79014995,sec,NVDA,S,2024-07-12,131.4011
-47394,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79034918,sec,NVDA,S,2024-07-12,130.4932
-33761,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79082312,sec,NVDA,S,2024-07-12,129.5522
-13539,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79116073,sec,NVDA,S,2024-07-12,128.446
-5383,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79129612,sec,NVDA,S,2024-07-12,127.7578
-100,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79134995,sec,NVDA,S,2024-07-11,136.0
-4506,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79135095,sec,NVDA,S,2024-07-11,135.5507
-13055,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79139601,sec,NVDA,S,2024-07-11,134.4253
-10990,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79152656,sec,NVDA,S,2024-07-11,133.6765
-2767,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79163646,sec,NVDA,S,2024-07-11,132.3813
-10005,,2024-07-15,0001045810-24-000219,False,HUANG JEN HSUN,79166413,sec,NVDA,S,2024-07-11,131.458
