change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-118,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3592999,sec,PAYC,S,2024-07-16,162.02
-909,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3593117,sec,PAYC,S,2024-07-16,161.18
-523,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3594026,sec,PAYC,S,2024-07-16,160.23
-350,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3594549,sec,PAYC,S,2024-07-16,158.62
-50,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3594899,sec,PAYC,S,2024-07-16,156.75
-118,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3015908,sec,PAYC,S,2024-07-16,162.02
-909,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3016026,sec,PAYC,S,2024-07-16,161.18
-523,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3016935,sec,PAYC,S,2024-07-16,160.23
-350,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3017458,sec,PAYC,S,2024-07-16,158.62
-50,,2024-07-17,0000950170-24-084368,False,Richison Chad R.,3017808,sec,PAYC,S,2024-07-16,156.75
-79,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3594949,sec,PAYC,S,2024-07-15,156.69
-274,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3595028,sec,PAYC,S,2024-07-15,156.22
-271,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3595302,sec,PAYC,S,2024-07-15,154.73
-707,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3595573,sec,PAYC,S,2024-07-15,154.08
-315,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3596280,sec,PAYC,S,2024-07-15,152.8
-159,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3596595,sec,PAYC,S,2024-07-15,152.16
-30,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3596754,sec,PAYC,S,2024-07-15,150.17
-48,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3596784,sec,PAYC,S,2024-07-15,149.43
-67,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3596832,sec,PAYC,S,2024-07-15,148.74
-79,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3017858,sec,PAYC,S,2024-07-15,156.69
-274,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3017937,sec,PAYC,S,2024-07-15,156.22
-271,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3018211,sec,PAYC,S,2024-07-15,154.73
-707,,2024-07-16,0000950170-24-084015,False,Richison Chad R.,3018482,sec,PAYC,S,2024-07-15,154.08
