change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-10601,,2024-07-17,0000950103-24-010129,True,Galit Scott H.,253800,sec,PAYO,M,2024-07-16,0.0
-10601,,2024-07-17,0000950103-24-010129,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-16,5.5193
10601,,2024-07-17,0000950103-24-010129,False,Galit Scott H.,2133022,sec,PAYO,M,2024-07-16,2.74
-73999,,2024-07-17,0000950103-24-010129,True,Galit Scott H.,264401,sec,PAYO,M,2024-07-15,0.0
-314393,,2024-07-17,0000950103-24-010129,True,Galit Scott H.,943179,sec,PAYO,M,2024-07-15,0.0
-221797,,2024-07-17,0000950103-24-010129,True,Galit Scott H.,665390,sec,PAYO,M,2024-07-15,0.0
-65098,,2024-07-17,0000950103-24-010129,True,Galit Scott H.,195294,sec,PAYO,M,2024-07-15,0.0
-675287,,2024-07-17,0000950103-24-010129,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-15,5.3597
73999,,2024-07-17,0000950103-24-010129,False,Galit Scott H.,2797708,sec,PAYO,M,2024-07-15,2.74
314393,,2024-07-17,0000950103-24-010129,False,Galit Scott H.,2723709,sec,PAYO,M,2024-07-15,2.9
221797,,2024-07-17,0000950103-24-010129,False,Galit Scott H.,2409316,sec,PAYO,M,2024-07-15,2.8
65098,,2024-07-17,0000950103-24-010129,False,Galit Scott H.,2187519,sec,PAYO,M,2024-07-15,3.02
-231073,,2024-07-15,0000950103-24-010017,True,Galit Scott H.,0,sec,PAYO,M,2024-07-11,0.0
-231073,,2024-07-15,0000950103-24-010017,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-11,5.3068
231073,,2024-07-15,0000950103-24-010017,False,Galit Scott H.,2353494,sec,PAYO,M,2024-07-11,1.41
-400300,,2024-07-10,0000950103-24-009849,True,Galit Scott H.,231073,sec,PAYO,M,2024-07-10,0.0
-400300,,2024-07-10,0000950103-24-009849,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-10,5.3355
400300,,2024-07-10,0000950103-24-009849,False,Galit Scott H.,2522721,sec,PAYO,M,2024-07-10,1.41
-343728,,2024-07-10,0000950103-24-009840,True,Galit Scott H.,631373,sec,PAYO,M,2024-07-09,0.0
-343728,,2024-07-10,0000950103-24-009840,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-09,5.5131
343728,,2024-07-10,0000950103-24-009840,False,Galit Scott H.,2466149,sec,PAYO,M,2024-07-09,1.41
-446104,,2024-07-10,0000950103-24-009840,True,Galit Scott H.,975101,sec,PAYO,M,2024-07-08,0.0
-446104,,2024-07-10,0000950103-24-009840,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-08,5.5036
446104,,2024-07-10,0000950103-24-009840,False,Galit Scott H.,2568525,sec,PAYO,M,2024-07-08,1.41
-390000,,2024-07-08,0000950103-24-009723,True,Galit Scott H.,1421205,sec,PAYO,M,2024-07-05,0.0
-390000,,2024-07-08,0000950103-24-009723,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-05,5.4373
390000,,2024-07-08,0000950103-24-009723,False,Galit Scott H.,2512421,sec,PAYO,M,2024-07-05,1.41
-140912,,2024-07-08,0000950103-24-009723,True,Galit Scott H.,1811205,sec,PAYO,M,2024-07-03,0.0
-140912,,2024-07-08,0000950103-24-009723,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-03,5.4844
140912,,2024-07-08,0000950103-24-009723,False,Galit Scott H.,2263333,sec,PAYO,M,2024-07-03,1.41
-357767,,2024-07-03,0000950103-24-009651,True,Galit Scott H.,1952117,sec,PAYO,M,2024-07-02,0.0
-357767,,2024-07-03,0000950103-24-009651,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-02,5.4453
357767,,2024-07-03,0000950103-24-009651,False,Galit Scott H.,2480188,sec,PAYO,M,2024-07-02,1.41
-52165,,2024-07-03,0000950103-24-009651,True,Galit Scott H.,2309884,sec,PAYO,M,2024-07-01,0.0
-300000,,2024-07-03,0000950103-24-009651,False,Galit Scott H.,2122421,sec,PAYO,S,2024-07-01,5.4283
-52165,,2024-07-03,0000950103-24-009651,False,Galit Scott H.,2422421,sec,PAYO,S,2024-07-01,5.4283
52165,,2024-07-03,0000950103-24-009651,False,Galit Scott H.,2474586,sec,PAYO,M,2024-07-01,1.41
-14073,,2024-06-04,0000950103-24-007843,False,Galit Scott H.,2422421,sec,PAYO,S,2024-06-04,5.8142
-14677,,2024-06-04,0000950103-24-007843,False,Galit Scott H.,2436494,sec,PAYO,F,2024-06-03,5.99
24793,,2024-06-03,0000950103-24-007683,False,Williams Rich,175339,sec,PAYO,A,2024-05-30,0.0
24793,,2024-06-03,0000950103-24-007680,False,Zeevi Avi,452377,sec,PAYO,A,2024-05-30,0.0
24793,,2024-06-03,0000950103-24-007679,False,PATSLEY PAMELA H,180366,sec,PAYO,A,2024-05-30,0.0
24793,,2024-06-03,0000950103-24-007678,False,Caro del Castillo Sharda,81887,sec,PAYO,A,2024-05-30,0.0
24793,,2024-06-03,0000950103-24-007677,False,Morgan Susanna,97082,sec,PAYO,A,2024-05-30,0.0
24793,,2024-06-03,0000950103-24-007676,False,Goldman Amir,26773,sec,PAYO,A,2024-05-30,0.0
-63813,,2024-05-29,0000950103-24-007274,False,Caplan John,4990255,sec,PAYO,F,2024-05-28,6.03
-6382,,2024-05-23,0000950103-24-007080,False,Goldman Tsafi,832396,sec,PAYO,F,2024-05-22,5.94
-1437,,2024-05-23,0000950103-24-007079,False,Perry Itai,232202,sec,PAYO,F,2024-05-22,5.94
-6000,,2024-05-23,0000950103-24-007079,True,Perry Itai,33913,sec,PAYO,M,2024-05-21,0.0
-6000,,2024-05-23,0000950103-24-007079,False,Perry Itai,233639,sec,PAYO,S,2024-05-21,6.0
6000,,2024-05-23,0000950103-24-007079,False,Perry Itai,239639,sec,PAYO,M,2024-05-21,2.9
-15954,,2024-05-16,0000950103-24-006791,False,Goldman Tsafi,838778,sec,PAYO,F,2024-05-15,5.86
-2028,,2024-05-16,0000950103-24-006790,False,Perry Itai,233639,sec,PAYO,F,2024-05-15,5.86
-2471,,2024-05-16,0000950103-24-006788,False,Zeevi Avi,427584,sec,PAYO,S,2024-05-15,5.9004
-23793,,2024-05-16,0000950103-24-006788,False,Zeevi Avi,430055,sec,PAYO,S,2024-05-14,5.9023
-29354,,2024-05-13,0000950103-24-006610,False,Zeevi Avi,453848,sec,PAYO,S,2024-05-10,5.902
-10116,,2024-05-10,0000950103-24-006562,False,Zeevi Avi,483202,sec,PAYO,S,2024-05-09,5.9056
-84226,,2024-05-10,0000950103-24-006562,False,Zeevi Avi,493318,sec,PAYO,S,2024-05-08,5.9028
-12221,,2024-05-07,0000950103-24-006442,False,Galit Scott H.,2451171,sec,PAYO,S,2024-05-07,5.2343
-3600,,2024-05-07,0000950103-24-006443,False,Goldman Tsafi,854732,sec,PAYO,F,2024-05-06,5.08
-12747,,2024-05-07,0000950103-24-006442,False,Galit Scott H.,2463392,sec,PAYO,F,2024-05-06,5.08
-55836,,2024-04-18,0000950103-24-005485,False,Ordonez Beatrice,2676192,sec,PAYO,F,2024-04-17,4.82
-191283,,2024-04-11,0000950103-24-005199,False,Galit Scott H.,2476139,sec,PAYO,S,2024-04-10,4.8518
-310000,,2024-04-10,0000950103-24-005136,False,Galit Scott H.,2667422,sec,PAYO,S,2024-04-09,4.856
-244662,,2024-04-10,0000950103-24-005136,False,Galit Scott H.,2977422,sec,PAYO,S,2024-04-08,4.8714
-94103,,2024-04-03,0000950103-24-004868,True,Galit Scott H.,2362049,sec,PAYO,M,2024-04-01,0.0
94103,,2024-04-03,0000950103-24-004868,False,Galit Scott H.,3222084,sec,PAYO,M,2024-04-01,1.41
-355717,,2024-03-27,0000950103-24-004480,True,Galit Scott H.,0,sec,PAYO,M,2024-03-26,0.0
-355717,,2024-03-27,0000950103-24-004480,False,Galit Scott H.,3127981,sec,PAYO,S,2024-03-26,4.7105
355717,,2024-03-27,0000950103-24-004480,False,Galit Scott H.,3483698,sec,PAYO,M,2024-03-26,0.62
-291625,,2024-03-27,0000950103-24-004480,True,Galit Scott H.,355717,sec,PAYO,M,2024-03-25,0.0
-291625,,2024-03-27,0000950103-24-004480,False,Galit Scott H.,3127981,sec,PAYO,S,2024-03-25,4.661
291625,,2024-03-27,0000950103-24-004480,False,Galit Scott H.,3419606,sec,PAYO,M,2024-03-25,0.62
-340120,,2024-03-13,0000950103-24-003784,True,Galit Scott H.,647342,sec,PAYO,M,2024-03-12,0.0
-340120,,2024-03-13,0000950103-24-003784,False,Galit Scott H.,3127981,sec,PAYO,S,2024-03-12,4.5058
340120,,2024-03-13,0000950103-24-003784,False,Galit Scott H.,3468101,sec,PAYO,M,2024-03-12,0.62
-307222,,2024-03-13,0000950103-24-003784,True,Galit Scott H.,987462,sec,PAYO,M,2024-03-11,0.0
-307222,,2024-03-13,0000950103-24-003784,False,Galit Scott H.,3127981,sec,PAYO,S,2024-03-11,4.5667
307222,,2024-03-13,0000950103-24-003784,False,Galit Scott H.,3435203,sec,PAYO,M,2024-03-11,0.62
-14073,,2024-03-06,0000950103-24-003496,False,Galit Scott H.,3127981,sec,PAYO,S,2024-03-04,4.6406
-14677,,2024-03-06,0000950103-24-003496,False,Galit Scott H.,3142054,sec,PAYO,F,2024-03-04,4.94
-63485,,2024-02-28,0000950103-24-003062,False,Caplan John,5054068,sec,PAYO,F,2024-02-26,5.49
-6118,,2024-02-26,0000950103-24-002785,False,Goldman Tsafi,858332,sec,PAYO,S,2024-02-23,5.4537
-6382,,2024-02-26,0000950103-24-002785,False,Goldman Tsafi,864450,sec,PAYO,F,2024-02-23,5.33
-1436,,2024-02-26,0000950103-24-002786,False,Perry Itai,232292,sec,PAYO,F,2024-02-23,5.33
-16697,,2024-02-21,0000950103-24-002550,False,Galit Scott H.,3156731,sec,PAYO,S,2024-02-20,5.3863
-17143,,2024-02-21,0000950103-24-002550,False,Galit Scott H.,3173428,sec,PAYO,F,2024-02-20,5.41
1070000,,2024-02-20,0000950103-24-002449,True,Caplan John,1070000,sec,PAYO,A,2024-02-19,0.0
1000000,,2024-02-20,0000950103-24-002449,False,Caplan John,5117553,sec,PAYO,A,2024-02-19,0.0
-61464,,2024-02-20,0000950103-24-002448,False,Goldman Tsafi,870832,sec,PAYO,S,2024-02-15,5.427
-7909,,2024-02-28,0000950103-24-003063,False,Perry Itai,237103,sec,PAYO,F,2024-02-14,5.39
-63536,,2024-02-15,0000950103-24-002296,False,Goldman Tsafi,932296,sec,PAYO,F,2024-02-14,5.39
-11284,,2024-02-15,0000950103-24-002295,False,Perry Itai,233728,sec,PAYO,F,2024-02-14,5.39
75000,,2024-02-15,0000950103-24-002298,False,Kraft Arnon,794371,sec,PAYO,A,2024-02-13,0.0
700000,,2024-02-15,0000950103-24-002297,False,Ordonez Beatrice,2732028,sec,PAYO,A,2024-02-13,0.0
300000,,2024-02-15,0000950103-24-002296,False,Goldman Tsafi,995832,sec,PAYO,A,2024-02-13,0.0
94000,,2024-02-15,0000950103-24-002295,False,Perry Itai,245012,sec,PAYO,A,2024-02-13,0.0
-91458,,2024-02-12,0000950103-24-002066,False,Ordonez Beatrice,2032028,sec,PAYO,S,2024-02-09,5.0029
-3142,,2024-02-09,0000950103-24-002018,False,Ordonez Beatrice,2123486,sec,PAYO,S,2024-02-08,5.0
-3536,,2024-02-07,0000950103-24-001889,False,Goldman Tsafi,695832,sec,PAYO,F,2024-02-06,4.82
-12447,,2024-02-07,0000950103-24-001888,False,Galit Scott H.,3190571,sec,PAYO,S,2024-02-06,4.8837
-12522,,2024-02-07,0000950103-24-001888,False,Galit Scott H.,3203018,sec,PAYO,F,2024-02-06,4.82
-400,,2024-01-24,0000950103-24-001088,False,Ordonez Beatrice,2126628,sec,PAYO,S,2024-01-23,5.0
-222972,,2024-01-18,0000950103-24-000840,False,Ordonez Beatrice,2127028,sec,PAYO,F,2024-01-16,4.84
-484111,,2024-01-05,0000950103-24-000364,True,Galit Scott H.,1294684,sec,PAYO,M,2024-01-04,0.0
484111,,2024-01-05,0000950103-24-000364,False,Galit Scott H.,3215540,sec,PAYO,M,2024-01-04,0.62
-39723,,2023-12-13,0000950103-23-017463,False,Kraft Arnon,729371,sec,PAYO,S,2023-12-12,5.3222
-14073,,2023-12-06,0000950103-23-017260,False,Galit Scott H.,2741429,sec,PAYO,S,2023-12-05,5.059
-14677,,2023-12-06,0000950103-23-017260,False,Galit Scott H.,2755502,sec,PAYO,F,2023-12-04,5.26
-1437,,2023-11-29,0000950103-23-016827,False,Perry Itai,166012,sec,PAYO,F,2023-11-27,5.38
-6118,,2023-11-29,0000950103-23-016826,False,Goldman Tsafi,714368,sec,PAYO,S,2023-11-27,5.3142
-6382,,2023-11-29,0000950103-23-016826,False,Goldman Tsafi,720486,sec,PAYO,F,2023-11-27,5.38
-63813,,2023-11-29,0000950103-23-016825,False,Caplan John,4117553,sec,PAYO,F,2023-11-27,5.49
-16564,,2023-11-21,0000950103-23-016551,False,Galit Scott H.,2770179,sec,PAYO,S,2023-11-21,5.3893
-17276,,2023-11-21,0000950103-23-016551,False,Galit Scott H.,2786743,sec,PAYO,F,2023-11-20,5.47
-1558050,,2023-11-15,0000950103-23-016284,False,Galit Scott H.,0,sec,PAYO,G,2023-11-13,0.0
1558050,,2023-11-15,0000950103-23-016284,False,Galit Scott H.,2804019,sec,PAYO,G,2023-11-13,0.0
-66688,,2023-11-15,0000950103-23-016282,False,Kraft Arnon,769094,sec,PAYO,S,2023-11-13,5.412
-3600,,2023-11-07,0000950103-23-016087,False,Goldman Tsafi,726868,sec,PAYO,F,2023-11-06,5.71
-12222,,2023-11-07,0000950103-23-016086,False,Galit Scott H.,1245969,sec,PAYO,S,2023-11-06,5.5762
-12747,,2023-11-07,0000950103-23-016086,False,Galit Scott H.,1258191,sec,PAYO,F,2023-11-06,5.71
-221344,,2023-09-21,0000950103-23-013862,False,Ronen Assaf,2628996,sec,PAYO,F,2023-09-20,6.03
-150000,,2023-09-18,0000950103-23-013701,False,Zeevi Avi,577544,sec,PAYO,S,2023-09-15,6.1956
