change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
350,,2024-06-04,0001628280-24-026748,False,Diamond Susan M,3414,sec,PEP,A,2024-06-01,171.23
-1522,,2024-06-04,0001628280-24-026553,False,Schmitt Becky,23869,sec,PEP,F,2024-06-01,171.245
350,,2024-06-04,0001628280-24-026555,False,VASELLA DANIEL,82260,sec,PEP,A,2024-06-01,171.23
350,,2024-06-04,0001628280-24-026552,False,Agbaje Segun,9377,sec,PEP,A,2024-06-01,171.23
350,,2024-06-04,0001628280-24-026551,False,Lewis Dave J,6826,sec,PEP,A,2024-06-01,171.23
350,,2024-06-04,0001628280-24-026550,False,Bailey Jennifer,3414,sec,PEP,A,2024-06-01,171.23
30,,2024-06-04,0001628280-24-026748,False,Diamond Susan M,3064,sec,PEP,A,2024-05-31,0.0
994,,2024-06-04,0001628280-24-026555,False,VASELLA DANIEL,81910,sec,PEP,A,2024-05-31,0.0
122,,2024-06-04,0001628280-24-026552,False,Agbaje Segun,9027,sec,PEP,A,2024-05-31,0.0
76,,2024-06-04,0001628280-24-026551,False,Lewis Dave J,6475,sec,PEP,A,2024-05-31,0.0
30,,2024-06-04,0001628280-24-026550,False,Bailey Jennifer,3064,sec,PEP,A,2024-05-31,0.0
-6628,,2024-05-14,0001628280-24-023194,False,Flavell David,36264,sec,PEP,S,2024-05-10,179.8628
17,,2024-05-13,0001628280-24-022873,True,Krishnan Ramkumar,2546,sec,PEP,A,2024-05-09,0.0
-5620,,2024-05-13,0001628280-24-022873,False,Krishnan Ramkumar,53953,sec,PEP,S,2024-05-09,178.0
-4563,,2024-03-13,0001628280-24-010906,False,Krishnan Ramkumar,59573,sec,PEP,S,2024-03-11,164.44
8772,,2024-03-08,0001628280-24-009955,False,Willemsen Eugene,25487,sec,PEP,G,2024-03-06,0.0
-8772,,2024-03-08,0001628280-24-009955,False,Willemsen Eugene,27125,sec,PEP,G,2024-03-06,0.0
-8828,,2024-03-05,0001628280-24-008900,False,Willemsen Eugene,35897,sec,PEP,F,2024-03-01,164.125
8800,,2024-03-05,0001628280-24-008900,False,Willemsen Eugene,44725,sec,PEP,A,2024-03-01,0.0
10849,,2024-03-05,0001628280-24-008900,False,Willemsen Eugene,35925,sec,PEP,A,2024-03-01,0.0
-12049,,2024-03-05,0001628280-24-008899,False,Williams Steven C,111738,sec,PEP,F,2024-03-01,164.125
15086,,2024-03-05,0001628280-24-008899,False,Williams Steven C,123787,sec,PEP,A,2024-03-01,0.0
18082,,2024-03-05,0001628280-24-008899,False,Williams Steven C,108701,sec,PEP,A,2024-03-01,0.0
-64290,,2024-03-05,0001628280-24-008897,False,Laguarta Ramon,441715,sec,PEP,F,2024-03-01,164.125
66629,,2024-03-05,0001628280-24-008897,False,Laguarta Ramon,506005,sec,PEP,A,2024-03-01,0.0
67005,,2024-03-05,0001628280-24-008897,False,Laguarta Ramon,439376,sec,PEP,A,2024-03-01,0.0
-11164,,2024-03-05,0001628280-24-008896,False,Popovici Silviu,116599,sec,PEP,F,2024-03-01,164.125
15086,,2024-03-05,0001628280-24-008896,False,Popovici Silviu,127763,sec,PEP,A,2024-03-01,0.0
13260,,2024-03-05,0001628280-24-008896,False,Popovici Silviu,112677,sec,PEP,A,2024-03-01,0.0
10447,,2024-03-05,0001628280-24-008895,False,Schmitt Becky,25391,sec,PEP,A,2024-03-01,0.0
-7920,,2024-03-05,0001628280-24-008893,False,Santilli Paula,87234,sec,PEP,F,2024-03-01,164.125
11314,,2024-03-05,0001628280-24-008893,False,Santilli Paula,95154,sec,PEP,A,2024-03-01,0.0
10046,,2024-03-05,0001628280-24-008893,False,Santilli Paula,83840,sec,PEP,A,2024-03-01,0.0
-5460,,2024-03-05,0001628280-24-008890,False,Flavell David,42892,sec,PEP,F,2024-03-01,164.125
6286,,2024-03-05,0001628280-24-008890,False,Flavell David,48352,sec,PEP,A,2024-03-01,0.0
9142,,2024-03-05,0001628280-24-008890,False,Flavell David,42066,sec,PEP,A,2024-03-01,0.0
-3296,,2024-03-05,0001628280-24-008889,False,Caulfield James T.,30987,sec,PEP,F,2024-03-01,164.125
13059,,2024-03-05,0001628280-24-008889,False,Caulfield James T.,34283,sec,PEP,A,2024-03-01,0.0
-2915,,2024-03-05,0001628280-24-008888,False,Gallagher Marie T.,50395,sec,PEP,F,2024-03-01,164.125
7890,,2024-03-05,0001628280-24-008888,False,Gallagher Marie T.,53310,sec,PEP,A,2024-03-01,0.0
71,,2024-03-05,0001628280-24-008886,True,Krishnan Ramkumar,2529,sec,PEP,A,2024-03-01,0.0
-14014,,2024-03-05,0001628280-24-008886,False,Krishnan Ramkumar,64136,sec,PEP,F,2024-03-01,164.125
15086,,2024-03-05,0001628280-24-008886,False,Krishnan Ramkumar,78150,sec,PEP,A,2024-03-01,0.0
14064,,2024-03-05,0001628280-24-008886,False,Krishnan Ramkumar,63064,sec,PEP,A,2024-03-01,0.0
-7700,,2024-02-27,0001628280-24-007213,False,Willemsen Eugene,16715,sec,PEP,S,2024-02-23,169.7401
356,,2023-12-05,0001209191-23-057428,False,VASELLA DANIEL,80916,sec,PEP,A,2023-12-01,168.69
356,,2023-12-05,0001209191-23-057419,False,Diamond Susan M,3033,sec,PEP,A,2023-12-01,168.69
356,,2023-12-05,0001209191-23-057415,False,COOPER EDITH W,5624,sec,PEP,A,2023-12-01,168.69
356,,2023-12-05,0001209191-23-057409,False,Bailey Jennifer,3033,sec,PEP,A,2023-12-01,168.69
356,,2023-12-05,0001209191-23-057405,False,Agbaje Segun,8905,sec,PEP,A,2023-12-01,168.69
430,,2023-11-14,0001209191-23-055171,True,Johnston Hugh F,20510,sec,PEP,A,2023-11-10,0.0
-29588,,2023-11-14,0001209191-23-055171,False,Johnston Hugh F,96627,sec,PEP,S,2023-11-10,166.6767
-18800,,2023-11-14,0001209191-23-055171,False,Johnston Hugh F,136823,sec,PEP,S,2023-11-10,166.619
1182,,2023-10-03,0001209191-23-051522,False,WEISSER ALBERTO,27763,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051508,False,Walker Darren,13465,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051495,False,VASELLA DANIEL,80560,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051492,False,POHLAD ROBERT C,185407,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051489,False,Page David C,17491,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051486,False,Lewis Dave J,6399,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051482,False,Gass Michelle,8786,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051474,False,DUBLON DINA,42658,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051469,False,Diamond Susan M,2678,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051466,False,COOPER EDITH W,5269,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051461,False,COOK IAN M,42386,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051455,False,Conde Cesar,14667,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051447,False,Bailey Jennifer,2678,sec,PEP,A,2023-10-01,0.0
1182,,2023-10-03,0001209191-23-051437,False,Agbaje Segun,8549,sec,PEP,A,2023-10-01,0.0
678,,2023-10-03,0001209191-23-051522,False,WEISSER ALBERTO,26580,sec,PEP,A,2023-09-30,0.0
299,,2023-10-03,0001209191-23-051508,False,Walker Darren,12283,sec,PEP,A,2023-09-30,0.0
