change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
6,,2024-07-16,0001225208-24-007464,True,JOHNSON RADY A,8993,sec,PFE,A,2024-07-15,29.1
18,,2024-07-16,0001225208-24-007462,True,BOURLA ALBERT,669258,sec,PFE,A,2024-07-15,29.1
52,,2024-07-16,0001225208-24-007463,True,DAMICO JENNIFER B.,28794,sec,PFE,A,2024-07-15,29.1
71,,2024-07-12,0001225208-24-007404,True,BOURLA ALBERT,669302,sec,PFE,A,2024-07-11,28.66
222,,2024-07-12,0001225208-24-007405,True,DAMICO JENNIFER B.,28745,sec,PFE,A,2024-07-11,28.66
3,,2024-07-12,0001225208-24-007406,True,JOHNSON RADY A,8987,sec,PFE,A,2024-07-11,28.66
1787,,2024-07-01,0001225208-24-007122,True,NARAYEN SHANTANU,146479,sec,PFE,A,2024-06-28,27.98
1608,,2024-07-01,0001225208-24-007124,True,SMITH JAMES C,132125,sec,PFE,A,2024-06-28,27.98
1385,,2024-07-01,0001225208-24-007123,True,Quincey James,50620,sec,PFE,A,2024-06-28,27.98
1678,,2024-07-01,0001225208-24-007121,True,Echevarria Joseph,116616,sec,PFE,A,2024-06-28,27.98
59,,2024-07-01,0001225208-24-007120,True,Taraporevala Cyrus,6160,sec,PFE,A,2024-06-28,27.98
5,,2024-07-01,0001225208-24-007065,True,JOHNSON RADY A,8984,sec,PFE,A,2024-06-28,27.98
54,,2024-07-01,0001225208-24-007064,True,DAMICO JENNIFER B.,28525,sec,PFE,A,2024-06-28,27.98
19,,2024-07-01,0001225208-24-007063,True,BOURLA ALBERT,669291,sec,PFE,A,2024-06-28,27.98
6101,,2024-07-01,0001225208-24-007120,True,Taraporevala Cyrus,6101,sec,PFE,A,2024-06-27,27.8
19,,2024-06-17,0001225208-24-006886,True,BOURLA ALBERT,669366,sec,PFE,A,2024-06-14,27.53
51,,2024-06-17,0001225208-24-006887,True,DAMICO JENNIFER B.,28475,sec,PFE,A,2024-06-14,27.53
49,,2024-06-04,0001225208-24-006587,True,DAMICO JENNIFER B.,28397,sec,PFE,A,2024-05-31,28.66
18,,2024-06-04,0001225208-24-006586,True,BOURLA ALBERT,668712,sec,PFE,A,2024-05-31,28.66
-12107,,2024-06-03,0001225208-24-006527,False,Denton David M,37919,sec,PFE,F,2024-05-31,28.66
49,,2024-05-16,0001225208-24-006071,True,DAMICO JENNIFER B.,28346,sec,PFE,A,2024-05-15,28.82
18,,2024-05-16,0001225208-24-006070,True,BOURLA ALBERT,668625,sec,PFE,A,2024-05-15,28.82
55,,2024-05-01,0001225208-24-005424,True,DAMICO JENNIFER B.,27920,sec,PFE,A,2024-04-30,25.62
20,,2024-05-01,0001225208-24-005423,True,BOURLA ALBERT,659681,sec,PFE,A,2024-04-30,25.62
8116,,2024-04-26,0001225208-24-005275,True,NORA JOHNSON SUZANNE M,100297,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005271,True,HOBBS HELEN,113061,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005276,True,Quincey James,48496,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005277,True,SMITH JAMES C,128556,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005274,True,NARAYEN SHANTANU,142518,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005272,True,Hockfield Susan,31188,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005273,True,LITTMAN DAN R.,50295,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005270,True,Gottlieb Scott,34886,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005269,True,Echevarria Joseph,113236,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005268,True,Desmond-Hellmann Susan,28356,sec,PFE,A,2024-04-25,25.26
8116,,2024-04-26,0001225208-24-005267,True,BLAYLOCK RONALD E,58627,sec,PFE,A,2024-04-25,25.26
20,,2024-04-16,0001225208-24-005064,True,BOURLA ALBERT,659636,sec,PFE,A,2024-04-15,25.91
54,,2024-04-16,0001225208-24-005065,True,DAMICO JENNIFER B.,27864,sec,PFE,A,2024-04-15,25.91
108,,2024-04-11,0001225208-24-005034,True,DAMICO JENNIFER B.,27806,sec,PFE,A,2024-04-10,26.32
18,,2024-04-11,0001225208-24-005033,True,BOURLA ALBERT,659517,sec,PFE,A,2024-04-10,26.32
49,,2024-04-01,0001225208-24-004695,True,DAMICO JENNIFER B.,27686,sec,PFE,A,2024-03-28,27.75
19,,2024-04-01,0001225208-24-004693,True,BOURLA ALBERT,659207,sec,PFE,A,2024-03-28,27.75
1622,,2024-04-01,0001225208-24-004643,True,SMITH JAMES C,120440,sec,PFE,A,2024-03-28,27.75
1667,,2024-04-01,0001225208-24-004640,True,Echevarria Joseph,105120,sec,PFE,A,2024-03-28,27.75
1802,,2024-04-01,0001225208-24-004641,True,NARAYEN SHANTANU,134402,sec,PFE,A,2024-03-28,27.75
1396,,2024-04-01,0001225208-24-004642,True,Quincey James,40380,sec,PFE,A,2024-03-28,27.75
87,,2024-03-18,0001225208-24-004294,True,DAMICO JENNIFER B.,27635,sec,PFE,A,2024-03-15,27.94
8,,2024-03-18,0001225208-24-004293,True,BOURLA ALBERT,659156,sec,PFE,A,2024-03-15,27.94
88240,,2024-03-05,0001225208-24-003584,True,BOURLA ALBERT,659573,sec,PFE,I,2024-03-04,25.89
-4150,,2024-03-01,0001225208-24-003340,False,BOSHOFF CHRISTOFFEL,156007,sec,PFE,F,2024-02-28,27.04
11510,,2024-03-01,0001225208-24-003340,False,BOSHOFF CHRISTOFFEL,160157,sec,PFE,A,2024-02-28,0.0
-21437,,2024-02-29,0001225208-24-003244,False,Dolsten Mikael,321729,sec,PFE,F,2024-02-28,27.04
79111,,2024-02-28,0001225208-24-003196,True,de Germay Alexandre,79111,sec,PFE,A,2024-02-27,0.0
89533,,2024-02-28,0001225208-24-003196,True,de Germay Alexandre,89533,sec,PFE,A,2024-02-27,0.0
74377,,2024-02-28,0001225208-24-003196,False,de Germay Alexandre,74377,sec,PFE,A,2024-02-27,0.0
63289,,2024-02-28,0001225208-24-003199,True,SAHNI PAYAL,63289,sec,PFE,A,2024-02-27,0.0
71627,,2024-02-28,0001225208-24-003199,True,SAHNI PAYAL,71627,sec,PFE,A,2024-02-27,0.0
142400,,2024-02-28,0001225208-24-003208,True,Denton David M,142400,sec,PFE,A,2024-02-27,0.0
161160,,2024-02-28,0001225208-24-003208,True,Denton David M,161160,sec,PFE,A,2024-02-27,0.0
142400,,2024-02-28,0001225208-24-003202,True,MALIK AAMIR,142400,sec,PFE,A,2024-02-27,0.0
161160,,2024-02-28,0001225208-24-003202,True,MALIK AAMIR,161160,sec,PFE,A,2024-02-27,0.0
34176,,2024-02-28,0001225208-24-003200,True,JOHNSON RADY A,34176,sec,PFE,A,2024-02-27,0.0
