change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-5500,,2024-07-17,0001321655-24-000120,False,Stat Lauren Elaina Friedman,164330,sec,PLTR,S,2024-07-15,28.87
-2000,,2024-07-17,0001321655-24-000120,False,Stat Lauren Elaina Friedman,69039,sec,PLTR,S,2024-07-15,28.97
-500,,2024-07-12,0001321655-24-000118,False,Moore Alexander D.,1550630,sec,PLTR,S,2024-07-10,28.398
-36577,,2024-07-12,0001321655-24-000118,False,Moore Alexander D.,1551130,sec,PLTR,S,2024-07-10,27.8053
-3026,,2024-07-11,0001321655-24-000116,False,Woersching Eric H.,29817,sec,PLTR,S,2024-07-09,28.0
197395,,2024-07-02,0001321655-24-000103,False,Glazer David A.,298012,sec,PLTR,A,2024-06-30,0.0
197395,,2024-07-02,0001321655-24-000101,False,Taylor Ryan D.,462249,sec,PLTR,A,2024-06-30,0.0
-3000,,2024-06-21,0001321655-24-000099,False,Woersching Eric H.,32843,sec,PLTR,S,2024-06-18,26.0
-3401,,2024-06-20,0001321655-24-000098,False,Stat Lauren Elaina Friedman,169830,sec,PLTR,S,2024-06-17,24.9322
-2599,,2024-06-20,0001321655-24-000098,False,Stat Lauren Elaina Friedman,173231,sec,PLTR,S,2024-06-17,23.8369
-1750,,2024-06-20,0001321655-24-000098,False,Stat Lauren Elaina Friedman,71039,sec,PLTR,S,2024-06-17,24.9206
-1300,,2024-06-20,0001321655-24-000098,False,Stat Lauren Elaina Friedman,72789,sec,PLTR,S,2024-06-17,23.8054
-3000,,2024-06-14,0001321655-24-000097,False,Woersching Eric H.,35843,sec,PLTR,S,2024-06-12,24.24
-27690,,2024-06-14,0001321655-24-000096,False,Planishek Heather A.,612006,sec,PLTR,S,2024-06-12,23.9118
-593,,2024-06-13,0001321655-24-000094,False,Taylor Ryan D.,264854,sec,PLTR,S,2024-06-11,23.09
-20422,,2024-06-10,0001321655-24-000090,False,Moore Alexander D.,1587707,sec,PLTR,S,2024-06-10,22.9432
-26000,,2024-06-10,0001321655-24-000093,False,Woersching Eric H.,38843,sec,PLTR,S,2024-06-07,23.3151
12610,,2024-06-10,0001321655-24-000093,False,Woersching Eric H.,64843,sec,PLTR,A,2024-06-06,0.0
12610,,2024-06-10,0001321655-24-000092,False,Stat Lauren Elaina Friedman,74089,sec,PLTR,A,2024-06-06,0.0
12610,,2024-06-10,0001321655-24-000091,False,Schiff Alexandra W.,199393,sec,PLTR,A,2024-06-06,0.0
12610,,2024-06-10,0001321655-24-000090,False,Moore Alexander D.,1608129,sec,PLTR,A,2024-06-06,0.0
-50000,,2024-05-28,0001321655-24-000081,True,Sankar Shyam,2226751,sec,PLTR,C,2024-05-23,0.0
-50000,,2024-05-28,0001321655-24-000081,False,Sankar Shyam,752786,sec,PLTR,S,2024-05-23,20.8855
50000,,2024-05-28,0001321655-24-000081,False,Sankar Shyam,802786,sec,PLTR,C,2024-05-23,0.0
-2398,,2024-05-22,0001321655-24-000077,False,Planishek Heather A.,639696,sec,PLTR,S,2024-05-22,21.2952
-9657,,2024-05-22,0001321655-24-000076,False,Taylor Ryan D.,265447,sec,PLTR,S,2024-05-22,21.2952
-8336,,2024-05-22,0001321655-24-000075,False,Glazer David A.,100617,sec,PLTR,S,2024-05-22,21.2952
-18162,,2024-05-22,0001321655-24-000074,True,Sankar Shyam,2276751,sec,PLTR,C,2024-05-22,0.0
-18162,,2024-05-22,0001321655-24-000074,False,Sankar Shyam,752786,sec,PLTR,S,2024-05-22,21.2952
18162,,2024-05-22,0001321655-24-000074,False,Sankar Shyam,770948,sec,PLTR,C,2024-05-22,0.0
-37501,,2024-05-22,0001321655-24-000073,True,Cohen Stephen Andrew,12862476,sec,PLTR,C,2024-05-22,0.0
-37501,,2024-05-22,0001321655-24-000073,False,Cohen Stephen Andrew,592,sec,PLTR,S,2024-05-22,21.2952
37501,,2024-05-22,0001321655-24-000073,False,Cohen Stephen Andrew,38093,sec,PLTR,C,2024-05-22,0.0
-43417,,2024-05-22,0001321655-24-000072,True,Karp Alexander C.,48696351,sec,PLTR,C,2024-05-22,0.0
-43417,,2024-05-22,0001321655-24-000072,False,Karp Alexander C.,6432258,sec,PLTR,S,2024-05-22,21.2952
43417,,2024-05-22,0001321655-24-000072,False,Karp Alexander C.,6475675,sec,PLTR,C,2024-05-22,0.0
-9005,,2024-05-22,0001321655-24-000077,False,Planishek Heather A.,642094,sec,PLTR,S,2024-05-21,21.2405
-36267,,2024-05-22,0001321655-24-000076,False,Taylor Ryan D.,275104,sec,PLTR,S,2024-05-21,21.2405
-31308,,2024-05-22,0001321655-24-000075,False,Glazer David A.,108953,sec,PLTR,S,2024-05-21,21.2405
-68212,,2024-05-22,0001321655-24-000074,True,Sankar Shyam,2294913,sec,PLTR,C,2024-05-21,0.0
-68212,,2024-05-22,0001321655-24-000074,False,Sankar Shyam,752786,sec,PLTR,S,2024-05-21,21.2405
68212,,2024-05-22,0001321655-24-000074,False,Sankar Shyam,820998,sec,PLTR,C,2024-05-21,0.0
-140838,,2024-05-22,0001321655-24-000073,True,Cohen Stephen Andrew,12899977,sec,PLTR,C,2024-05-21,0.0
-140838,,2024-05-22,0001321655-24-000073,False,Cohen Stephen Andrew,592,sec,PLTR,S,2024-05-21,21.2405
140838,,2024-05-22,0001321655-24-000073,False,Cohen Stephen Andrew,141430,sec,PLTR,C,2024-05-21,0.0
-163056,,2024-05-22,0001321655-24-000072,True,Karp Alexander C.,48739768,sec,PLTR,C,2024-05-21,0.0
-163056,,2024-05-22,0001321655-24-000072,False,Karp Alexander C.,6432258,sec,PLTR,S,2024-05-21,21.2405
163056,,2024-05-22,0001321655-24-000072,False,Karp Alexander C.,6595314,sec,PLTR,C,2024-05-21,0.0
-10907,,2024-05-22,0001321655-24-000077,False,Planishek Heather A.,651099,sec,PLTR,S,2024-05-20,21.4268
-43927,,2024-05-22,0001321655-24-000076,False,Taylor Ryan D.,311371,sec,PLTR,S,2024-05-20,21.4268
-37921,,2024-05-22,0001321655-24-000075,False,Glazer David A.,140261,sec,PLTR,S,2024-05-20,21.4268
-82619,,2024-05-22,0001321655-24-000074,True,Sankar Shyam,2363125,sec,PLTR,C,2024-05-20,0.0
375000,,2024-05-22,0001321655-24-000074,True,Sankar Shyam,2445744,sec,PLTR,M,2024-05-20,0.0
-375000,,2024-05-22,0001321655-24-000074,True,Sankar Shyam,3000000,sec,PLTR,M,2024-05-20,0.0
-82619,,2024-05-22,0001321655-24-000074,False,Sankar Shyam,752786,sec,PLTR,S,2024-05-20,21.4268
82619,,2024-05-22,0001321655-24-000074,False,Sankar Shyam,835405,sec,PLTR,C,2024-05-20,0.0
-170584,,2024-05-22,0001321655-24-000073,True,Cohen Stephen Andrew,13040815,sec,PLTR,C,2024-05-20,0.0
675000,,2024-05-22,0001321655-24-000073,True,Cohen Stephen Andrew,13211399,sec,PLTR,M,2024-05-20,0.0
-675000,,2024-05-22,0001321655-24-000073,True,Cohen Stephen Andrew,5400000,sec,PLTR,M,2024-05-20,0.0
-170584,,2024-05-22,0001321655-24-000073,False,Cohen Stephen Andrew,592,sec,PLTR,S,2024-05-20,21.4268
170584,,2024-05-22,0001321655-24-000073,False,Cohen Stephen Andrew,171176,sec,PLTR,C,2024-05-20,0.0
-197495,,2024-05-22,0001321655-24-000072,True,Karp Alexander C.,48902824,sec,PLTR,C,2024-05-20,0.0
97500,,2024-05-22,0001321655-24-000072,True,Karp Alexander C.,49100319,sec,PLTR,M,2024-05-20,0.0
-97500,,2024-05-22,0001321655-24-000072,True,Karp Alexander C.,2730000,sec,PLTR,M,2024-05-20,0.0
877500,,2024-05-22,0001321655-24-000072,True,Karp Alexander C.,49002819,sec,PLTR,M,2024-05-20,0.0
-877500,,2024-05-22,0001321655-24-000072,True,Karp Alexander C.,24570000,sec,PLTR,M,2024-05-20,0.0
-325000,,2024-05-22,0001321655-24-000072,True,Karp Alexander C.,48125319,sec,PLTR,C,2024-05-20,0.0
-197495,,2024-05-22,0001321655-24-000072,False,Karp Alexander C.,6432258,sec,PLTR,S,2024-05-20,21.4268
197495,,2024-05-22,0001321655-24-000072,False,Karp Alexander C.,6629753,sec,PLTR,C,2024-05-20,0.0
-325000,,2024-05-22,0001321655-24-000072,False,Karp Alexander C.,6432258,sec,PLTR,S,2024-05-20,21.459
325000,,2024-05-22,0001321655-24-000072,False,Karp Alexander C.,6757258,sec,PLTR,C,2024-05-20,0.0
-5000000,,2024-05-10,0001415889-24-012934,False,THIEL PETER,15733625,sec,PLTR,S,2024-05-10,20.784
-1669411,,2024-05-10,0001415889-24-012934,False,THIEL PETER,62851188,sec,PLTR,S,2024-05-09,21.2601
-6285833,,2024-05-10,0001415889-24-012934,False,THIEL PETER,64520599,sec,PLTR,S,2024-05-08,21.3303
-1100,,2024-05-03,0001321655-24-000064,False,Moore Alexander D.,1595519,sec,PLTR,S,2024-05-01,22.6955
-18900,,2024-05-03,0001321655-24-000064,False,Moore Alexander D.,1596619,sec,PLTR,S,2024-05-01,21.9757
-5000,,2024-04-03,0001321655-24-000047,False,Schiff Alexandra W.,186783,sec,PLTR,S,2024-04-01,22.7434
-20000,,2024-04-03,0001321655-24-000046,False,Moore Alexander D.,1615519,sec,PLTR,S,2024-04-01,22.7347
173838,,2024-04-02,0001321655-24-000045,False,Taylor Ryan D.,355298,sec,PLTR,A,2024-03-31,0.0
173838,,2024-04-02,0001321655-24-000044,False,Glazer David A.,178182,sec,PLTR,A,2024-03-31,0.0
-6000,,2024-03-19,0001321655-24-000040,False,Stat Lauren Elaina Friedman,175830,sec,PLTR,S,2024-03-15,23.6832
-130281,,2024-03-12,0001415889-24-007747,False,THIEL PETER,70806432,sec,PLTR,S,2024-03-12,25.5437
-6914475,,2024-03-12,0001415889-24-007747,False,THIEL PETER,70936713,sec,PLTR,S,2024-03-12,24.7724
-1100,,2024-03-08,0001321655-24-000039,False,Planishek Heather A.,662006,sec,PLTR,S,2024-03-06,26.6391
-25728,,2024-03-08,0001321655-24-000039,False,Planishek Heather A.,663106,sec,PLTR,S,2024-03-06,26.1394
-6000,,2024-03-08,0001321655-24-000039,False,Planishek Heather A.,688834,sec,PLTR,S,2024-03-06,25.0347
-5000,,2024-03-05,0001321655-24-000038,False,Schiff Alexandra W.,191783,sec,PLTR,S,2024-03-01,24.9097
-20000,,2024-03-05,0001321655-24-000037,False,Moore Alexander D.,1635519,sec,PLTR,S,2024-03-01,24.9617
-50000,,2024-02-22,0001321655-24-000029,False,Sankar Shyam,752786,sec,PLTR,S,2024-02-22,23.565
50000,,2024-02-22,0001321655-24-000029,False,Sankar Shyam,802786,sec,PLTR,C,2024-02-22,0.0
-8651,,2024-02-22,0001321655-24-000030,False,Planishek Heather A.,694834,sec,PLTR,S,2024-02-21,22.6546
-50000,,2024-02-22,0001321655-24-000029,True,Sankar Shyam,2070744,sec,PLTR,C,2024-02-21,0.0
-89562,,2024-02-22,0001321655-24-000029,True,Sankar Shyam,2120744,sec,PLTR,C,2024-02-21,0.0
-89562,,2024-02-22,0001321655-24-000029,False,Sankar Shyam,752786,sec,PLTR,S,2024-02-21,22.6546
89562,,2024-02-22,0001321655-24-000029,False,Sankar Shyam,842348,sec,PLTR,C,2024-02-21,0.0
-181098,,2024-02-22,0001321655-24-000028,True,Cohen Stephen Andrew,12536399,sec,PLTR,C,2024-02-21,0.0
-181098,,2024-02-22,0001321655-24-000028,False,Cohen Stephen Andrew,592,sec,PLTR,S,2024-02-21,22.6546
181098,,2024-02-22,0001321655-24-000028,False,Cohen Stephen Andrew,181690,sec,PLTR,C,2024-02-21,0.0
-213846,,2024-02-22,0001321655-24-000027,True,Karp Alexander C.,48450319,sec,PLTR,C,2024-02-21,0.0
-213846,,2024-02-22,0001321655-24-000027,False,Karp Alexander C.,6432258,sec,PLTR,S,2024-02-21,22.6546
213846,,2024-02-22,0001321655-24-000027,False,Karp Alexander C.,6646104,sec,PLTR,C,2024-02-21,0.0
-369,,2024-02-22,0001321655-24-000030,False,Planishek Heather A.,703485,sec,PLTR,S,2024-02-20,23.824
-8152,,2024-02-22,0001321655-24-000030,False,Planishek Heather A.,703854,sec,PLTR,S,2024-02-20,23.2413
-88219,,2024-02-22,0001321655-24-000029,True,Sankar Shyam,2210306,sec,PLTR,C,2024-02-20,0.0
375000,,2024-02-22,0001321655-24-000029,True,Sankar Shyam,2298525,sec,PLTR,M,2024-02-20,0.0
-375000,,2024-02-22,0001321655-24-000029,True,Sankar Shyam,3375000,sec,PLTR,M,2024-02-20,0.0
-3818,,2024-02-22,0001321655-24-000029,False,Sankar Shyam,752786,sec,PLTR,S,2024-02-20,23.824
-84401,,2024-02-22,0001321655-24-000029,False,Sankar Shyam,756604,sec,PLTR,S,2024-02-20,23.2413
88219,,2024-02-22,0001321655-24-000029,False,Sankar Shyam,841005,sec,PLTR,C,2024-02-20,0.0
-178382,,2024-02-22,0001321655-24-000028,True,Cohen Stephen Andrew,12717497,sec,PLTR,C,2024-02-20,0.0
675000,,2024-02-22,0001321655-24-000028,True,Cohen Stephen Andrew,12895879,sec,PLTR,M,2024-02-20,0.0
-675000,,2024-02-22,0001321655-24-000028,True,Cohen Stephen Andrew,6075000,sec,PLTR,M,2024-02-20,0.0
-7721,,2024-02-22,0001321655-24-000028,False,Cohen Stephen Andrew,592,sec,PLTR,S,2024-02-20,23.824
-170661,,2024-02-22,0001321655-24-000028,False,Cohen Stephen Andrew,8313,sec,PLTR,S,2024-02-20,23.2413
178382,,2024-02-22,0001321655-24-000028,False,Cohen Stephen Andrew,178974,sec,PLTR,C,2024-02-20,0.0
-210638,,2024-02-22,0001321655-24-000027,True,Karp Alexander C.,48664165,sec,PLTR,C,2024-02-20,0.0
97500,,2024-02-22,0001321655-24-000027,True,Karp Alexander C.,48874803,sec,PLTR,M,2024-02-20,0.0
-97500,,2024-02-22,0001321655-24-000027,True,Karp Alexander C.,2827500,sec,PLTR,M,2024-02-20,0.0
877500,,2024-02-22,0001321655-24-000027,True,Karp Alexander C.,48777303,sec,PLTR,M,2024-02-20,0.0
-877500,,2024-02-22,0001321655-24-000027,True,Karp Alexander C.,25447500,sec,PLTR,M,2024-02-20,0.0
-650000,,2024-02-22,0001321655-24-000027,True,Karp Alexander C.,47899803,sec,PLTR,C,2024-02-20,0.0
-9117,,2024-02-22,0001321655-24-000027,False,Karp Alexander C.,6432258,sec,PLTR,S,2024-02-20,23.824
-201521,,2024-02-22,0001321655-24-000027,False,Karp Alexander C.,6441375,sec,PLTR,S,2024-02-20,23.2413
210638,,2024-02-22,0001321655-24-000027,False,Karp Alexander C.,6642896,sec,PLTR,C,2024-02-20,0.0
-32540,,2024-02-22,0001321655-24-000027,False,Karp Alexander C.,6432258,sec,PLTR,S,2024-02-20,23.8225
-617460,,2024-02-22,0001321655-24-000027,False,Karp Alexander C.,6464798,sec,PLTR,S,2024-02-20,23.1158
650000,,2024-02-22,0001321655-24-000027,False,Karp Alexander C.,7082258,sec,PLTR,C,2024-02-20,0.0
-29168,,2024-02-12,0001321655-24-000019,True,Sankar Shyam,1923525,sec,PLTR,C,2024-02-12,0.0
29168,,2024-02-12,0001321655-24-000019,True,Sankar Shyam,1952693,sec,PLTR,M,2024-02-12,0.0
-29168,,2024-02-12,0001321655-24-000019,True,Sankar Shyam,0,sec,PLTR,M,2024-02-12,0.0
-29168,,2024-02-12,0001321655-24-000019,False,Sankar Shyam,752786,sec,PLTR,S,2024-02-12,25.0026
29168,,2024-02-12,0001321655-24-000019,False,Sankar Shyam,781954,sec,PLTR,C,2024-02-12,0.0
-5000,,2024-02-13,0001321655-24-000020,False,Stat Lauren Elaina Friedman,181830,sec,PLTR,S,2024-02-09,25.1
-89184,,2024-02-12,0001321655-24-000019,True,Sankar Shyam,1923525,sec,PLTR,C,2024-02-09,0.0
