change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
229,CAD,2024-04-01,,,"Nejatian, Kasra",189281,sedi,SHOP,57,2024-04-01,0.0
-229,CAD,2024-04-01,,,"Nejatian, Kasra",608372,sedi,SHOP,57,2024-04-01,0.0
-23,CAD,2024-04-01,,,"Finkelstein, Harley Michael",36802,sedi,SHOP,10,2024-04-01,78.1444
42,CAD,2024-04-01,,,"Finkelstein, Harley Michael",36825,sedi,SHOP,57,2024-04-01,0.0
-42,CAD,2024-04-01,,,"Finkelstein, Harley Michael",189454,sedi,SHOP,57,2024-04-01,0.0
-1559,CAD,2024-04-01,,,"Hertz, Jessica",225599,sedi,SHOP,57,2024-03-28,0.0
780,CAD,2024-04-01,,,"Finkelstein, Harley Michael",37209,sedi,SHOP,57,2024-03-28,0.0
-1881,CAD,2024-04-01,,,"Hoffmeister, Jeff",32305,sedi,SHOP,10,2024-03-28,78.8315
4169,CAD,2024-04-01,,,"Hoffmeister, Jeff",34186,sedi,SHOP,57,2024-03-28,0.0
-4169,CAD,2024-04-01,,,"Hoffmeister, Jeff",199331,sedi,SHOP,57,2024-03-28,0.0
-764,CAD,2024-04-01,,,"Hertz, Jessica",11539,sedi,SHOP,10,2024-03-28,78.8315
1559,CAD,2024-04-01,,,"Hertz, Jessica",12303,sedi,SHOP,57,2024-03-28,0.0
-426,CAD,2024-04-01,,,"Finkelstein, Harley Michael",36783,sedi,SHOP,10,2024-03-28,78.8315
-780,CAD,2024-04-01,,,"Finkelstein, Harley Michael",189496,sedi,SHOP,57,2024-03-28,0.0
229,CAD,2024-02-01,,,"Nejatian, Kasra",169245,sedi,SHOP,57,2024-01-31,0.0
-229,CAD,2024-02-01,,,"Nejatian, Kasra",629623,sedi,SHOP,57,2024-01-31,0.0
-23,CAD,2024-02-01,,,"Finkelstein, Harley Michael",91135,sedi,SHOP,10,2024-01-31,80.8115
42,CAD,2024-02-01,,,"Finkelstein, Harley Michael",91158,sedi,SHOP,57,2024-01-31,0.0
-42,CAD,2024-02-01,,,"Finkelstein, Harley Michael",118213,sedi,SHOP,57,2024-01-31,0.0
-1875,CAD,2024-01-17,,,"Nejatian, Kasra",169016,sedi,SHOP,30,2024-01-16,80.2
253,CAD,2024-01-03,,,"Nejatian, Kasra",170891,sedi,SHOP,57,2024-01-02,0.0
-253,CAD,2024-01-03,,,"Nejatian, Kasra",629852,sedi,SHOP,57,2024-01-02,0.0
-12000,CAD,2024-01-03,,,"Hertz, Jessica",3239,sedi,SHOP,30,2024-01-02,73.925
-27,CAD,2024-01-03,,,"Finkelstein, Harley Michael",91116,sedi,SHOP,10,2024-01-02,74.296
47,CAD,2024-01-03,,,"Finkelstein, Harley Michael",91143,sedi,SHOP,57,2024-01-02,0.0
-47,CAD,2024-01-03,,,"Finkelstein, Harley Michael",118255,sedi,SHOP,57,2024-01-02,0.0
-157329,CAD,2024-01-05,,,"Shannan, Tobyn David",0,sedi,SHOP,52,2023-12-31,0.0
-3100,CAD,2023-12-20,,,"Finkelstein, Harley Michael",91096,sedi,SHOP,30,2023-12-19,79.0132
-3100,CAD,2023-12-20,,,"Finkelstein, Harley Michael",94196,sedi,SHOP,30,2023-12-19,78.0
-1875,CAD,2023-12-15,,,"Nejatian, Kasra",170638,sedi,SHOP,30,2023-12-15,77.7
516529,CAD,2023-12-15,,,"Nejatian, Kasra",630105,sedi,SHOP,56,2023-12-14,0.0
955171,CAD,2023-12-15,,,"Nejatian, Kasra",1725190,sedi,SHOP,50,2023-12-14,72.6
-169,CAD,2023-12-15,,,"Hertz, Jessica",15239,sedi,SHOP,30,2023-12-14,75.3
-3100,CAD,2023-12-15,,,"Finkelstein, Harley Michael",97296,sedi,SHOP,30,2023-12-14,77.0189
-3100,CAD,2023-12-15,,,"Finkelstein, Harley Michael",100396,sedi,SHOP,30,2023-12-14,76.0
25206,CAD,2023-12-11,,,"Nejatian, Kasra",172513,sedi,SHOP,57,2023-12-11,0.0
-25206,CAD,2023-12-11,,,"Nejatian, Kasra",113576,sedi,SHOP,57,2023-12-11,0.0
-3710,CAD,2023-12-11,,,"Hoffmeister, Jeff",21605,sedi,SHOP,10,2023-12-11,72.9
8247,CAD,2023-12-11,,,"Hoffmeister, Jeff",25315,sedi,SHOP,57,2023-12-11,0.0
-8247,CAD,2023-12-11,,,"Hoffmeister, Jeff",65978,sedi,SHOP,57,2023-12-11,0.0
-5676,CAD,2023-12-11,,,"Hertz, Jessica",15408,sedi,SHOP,10,2023-12-11,72.9
11624,CAD,2023-12-11,,,"Hertz, Jessica",21084,sedi,SHOP,57,2023-12-11,0.0
-11624,CAD,2023-12-11,,,"Hertz, Jessica",129322,sedi,SHOP,57,2023-12-11,0.0
-5213,CAD,2023-12-11,,,"Finkelstein, Harley Michael",103496,sedi,SHOP,10,2023-12-11,72.9
9564,CAD,2023-12-11,,,"Finkelstein, Harley Michael",108709,sedi,SHOP,57,2023-12-11,0.0
-9564,CAD,2023-12-11,,,"Finkelstein, Harley Michael",118302,sedi,SHOP,57,2023-12-11,0.0
275,CAD,2023-12-11,,,"Taylor, Bret Steven",275,sedi,SHOP,56,2023-12-08,0.0
138,CAD,2023-12-11,,,"Shannan, Tobyn David",455,sedi,SHOP,56,2023-12-08,0.0
688,CAD,2023-12-11,,,"Nejatian, Kasra",138782,sedi,SHOP,56,2023-12-08,0.0
125,CAD,2023-12-11,,,"Finkelstein, Harley Michael",127866,sedi,SHOP,56,2023-12-08,0.0
227,CAD,2023-12-11,,,"ASHE, ROBERT GERARD",10907,sedi,SHOP,56,2023-12-08,0.0
-85,CAD,2023-12-11,,,"Finkelstein, Harley Michael",99145,sedi,SHOP,30,2023-12-07,70.63
-85,CAD,2023-12-11,,,"Finkelstein, Harley Michael",99230,sedi,SHOP,30,2023-12-07,70.63
-127,CAD,2023-12-11,,,"Finkelstein, Harley Michael",99315,sedi,SHOP,30,2023-12-07,70.63
-127,CAD,2023-12-11,,,"Finkelstein, Harley Michael",99442,sedi,SHOP,30,2023-12-07,70.63
-212,CAD,2023-12-11,,,"Finkelstein, Harley Michael",99569,sedi,SHOP,30,2023-12-07,70.63
-212,CAD,2023-12-11,,,"Finkelstein, Harley Michael",99781,sedi,SHOP,30,2023-12-07,70.63
1139,CAD,2023-12-05,,,"Nejatian, Kasra",147307,sedi,SHOP,57,2023-12-04,0.0
-1139,CAD,2023-12-05,,,"Nejatian, Kasra",138094,sedi,SHOP,57,2023-12-04,0.0
-1173,CAD,2023-12-05,,,"Finkelstein, Harley Michael",99993,sedi,SHOP,10,2023-12-04,73.4658
2116,CAD,2023-12-05,,,"Finkelstein, Harley Michael",101166,sedi,SHOP,57,2023-12-04,0.0
-2116,CAD,2023-12-05,,,"Finkelstein, Harley Michael",127741,sedi,SHOP,57,2023-12-04,0.0
253,CAD,2023-11-30,,,"Nejatian, Kasra",146168,sedi,SHOP,57,2023-11-30,0.0
-253,CAD,2023-11-30,,,"Nejatian, Kasra",139233,sedi,SHOP,57,2023-11-30,0.0
-26,CAD,2023-11-30,,,"Finkelstein, Harley Michael",99050,sedi,SHOP,10,2023-11-30,72.5144
47,CAD,2023-11-30,,,"Finkelstein, Harley Michael",99076,sedi,SHOP,57,2023-11-30,0.0
-599,CAD,2023-11-30,,,"Finkelstein, Harley Michael",99029,sedi,SHOP,30,2023-11-30,73.33
-599,CAD,2023-11-30,,,"Finkelstein, Harley Michael",99628,sedi,SHOP,30,2023-11-30,73.33
-359,CAD,2023-11-30,,,"Finkelstein, Harley Michael",100227,sedi,SHOP,30,2023-11-30,73.33
-359,CAD,2023-11-30,,,"Finkelstein, Harley Michael",100586,sedi,SHOP,30,2023-11-30,73.33
-240,CAD,2023-11-30,,,"Finkelstein, Harley Michael",100945,sedi,SHOP,30,2023-11-30,73.33
-240,CAD,2023-11-30,,,"Finkelstein, Harley Michael",101185,sedi,SHOP,30,2023-11-30,73.33
-47,CAD,2023-11-30,,,"Finkelstein, Harley Michael",129857,sedi,SHOP,57,2023-11-30,0.0
-2491,CAD,2023-11-30,,,"Hertz, Jessica",9460,sedi,SHOP,30,2023-11-29,74.42
-3100,CAD,2023-11-30,,,"Finkelstein, Harley Michael",101425,sedi,SHOP,30,2023-11-29,75.0
-2750,CAD,2023-11-29,,,"Finkelstein, Harley Michael",104525,sedi,SHOP,30,2023-11-27,74.0153
-2750,CAD,2023-11-29,,,"Finkelstein, Harley Michael",107275,sedi,SHOP,30,2023-11-27,73.0082
-2750,CAD,2023-11-29,,,"Finkelstein, Harley Michael",110025,sedi,SHOP,30,2023-11-27,72.0
480,CAD,2023-11-27,,,"Simo, Fidji",10490,sedi,SHOP,57,2023-11-24,0.0
-480,CAD,2023-11-27,,,"Simo, Fidji",6191,sedi,SHOP,57,2023-11-24,0.0
-2452,CAD,2023-11-27,,,"Hertz, Jessica",11951,sedi,SHOP,10,2023-11-24,70.5657
4943,CAD,2023-11-27,,,"Hertz, Jessica",14403,sedi,SHOP,57,2023-11-24,0.0
-4943,CAD,2023-11-27,,,"Hertz, Jessica",140946,sedi,SHOP,57,2023-11-24,0.0
-3317,CAD,2023-11-27,,,"Finkelstein, Harley Michael",112775,sedi,SHOP,10,2023-11-24,70.5657
5991,CAD,2023-11-27,,,"Finkelstein, Harley Michael",116092,sedi,SHOP,57,2023-11-24,0.0
-5991,CAD,2023-11-27,,,"Finkelstein, Harley Michael",129904,sedi,SHOP,57,2023-11-24,0.0
-59815,CAD,2023-11-23,,,"Shannan, Tobyn David",325654,sedi,SHOP,10,2023-11-22,70.2709
59815,CAD,2023-11-23,,,"Shannan, Tobyn David",385469,sedi,SHOP,51,2023-11-22,46.56
16864,CAD,2023-11-23,,,"Shannan, Tobyn David",325654,sedi,SHOP,51,2023-11-22,46.56
-44377,CAD,2023-11-23,,,"Shannan, Tobyn David",308790,sedi,SHOP,10,2023-11-22,70.2709
44377,CAD,2023-11-23,,,"Shannan, Tobyn David",353167,sedi,SHOP,51,2023-11-22,18.04
49793,CAD,2023-11-23,,,"Shannan, Tobyn David",308790,sedi,SHOP,51,2023-11-22,18.04
