change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-848,,2024-07-08,0001640147-24-000197,False,Briggs Teresa,4247,sec,SNOW,S,2024-07-05,142.98
-15000,,2024-07-08,0001640147-24-000195,False,Kleinerman Christian,733773,sec,SNOW,S,2024-07-05,142.98
2292,,2024-07-03,0001225208-24-007288,False,Speiser Michael L,26778,sec,SNOW,A,2024-07-02,0.0
2292,,2024-07-03,0001640147-24-000191,False,Kramer Kelly A.,7428,sec,SNOW,A,2024-07-02,0.0
2292,,2024-07-03,0001640147-24-000190,False,Briggs Teresa,5095,sec,SNOW,A,2024-07-02,0.0
2292,,2024-07-03,0001640147-24-000189,False,Ullal Jayshree,7428,sec,SNOW,A,2024-07-02,0.0
2292,,2024-07-03,0001640147-24-000188,False,MCLAUGHLIN MARK D,13979,sec,SNOW,A,2024-07-02,0.0
2292,,2024-07-03,0001640147-24-000187,False,GARRETT MARK,7428,sec,SNOW,A,2024-07-02,0.0
2292,,2024-07-03,0001640147-24-000186,False,BURTON JEREMY,7428,sec,SNOW,A,2024-07-02,0.0
-240,,2024-07-02,0001640147-24-000185,False,Czajkowski Grzegorz,494702,sec,SNOW,S,2024-06-28,134.86
-3845,,2024-06-27,0001640147-24-000178,False,Ho Emily,30613,sec,SNOW,S,2024-06-26,130.39
-858739,,2024-06-27,0001640147-24-000180,True,Czajkowski Grzegorz,0,sec,SNOW,M,2024-06-25,0.0
-3503,,2024-06-27,0001640147-24-000180,False,Czajkowski Grzegorz,494942,sec,SNOW,S,2024-06-25,125.0
-584,,2024-06-27,0001640147-24-000180,False,Czajkowski Grzegorz,498445,sec,SNOW,S,2024-06-25,124.075
-465033,,2024-06-27,0001640147-24-000180,False,Czajkowski Grzegorz,499029,sec,SNOW,S,2024-06-25,123.072
858739,,2024-06-27,0001640147-24-000180,False,Czajkowski Grzegorz,964062,sec,SNOW,M,2024-06-25,8.88
-1295,,2024-06-24,0001640147-24-000176,False,Dageville Benoit,58791,sec,SNOW,S,2024-06-21,125.19
-842,,2024-06-24,0001640147-24-000170,False,Kleinerman Christian,748773,sec,SNOW,S,2024-06-21,125.68
-283,,2024-06-24,0001640147-24-000176,False,Dageville Benoit,60086,sec,SNOW,F,2024-06-20,126.62
-993,,2024-06-24,0001640147-24-000176,False,Dageville Benoit,60369,sec,SNOW,F,2024-06-20,130.67
-50000,,2024-06-24,0001640147-24-000174,False,Degnan Christopher William,139563,sec,SNOW,G,2024-06-20,0.0
-50000,,2024-06-24,0001640147-24-000174,False,Degnan Christopher William,189563,sec,SNOW,G,2024-06-20,0.0
-100589,,2024-06-24,0001640147-24-000174,False,Degnan Christopher William,239563,sec,SNOW,G,2024-06-20,0.0
-866,,2024-06-24,0001640147-24-000174,False,Degnan Christopher William,350803,sec,SNOW,F,2024-06-20,126.62
-1353,,2024-06-24,0001640147-24-000174,False,Degnan Christopher William,351669,sec,SNOW,F,2024-06-20,130.67
-385,,2024-06-24,0001640147-24-000172,False,Ho Emily,34458,sec,SNOW,F,2024-06-20,126.62
-1535,,2024-06-24,0001640147-24-000170,False,Kleinerman Christian,749615,sec,SNOW,S,2024-06-20,125.931
-866,,2024-06-24,0001640147-24-000170,False,Kleinerman Christian,751150,sec,SNOW,F,2024-06-20,126.62
-1579,,2024-06-24,0001640147-24-000170,False,Kleinerman Christian,752016,sec,SNOW,F,2024-06-20,130.67
-1020,,2024-06-24,0001640147-24-000168,False,Ramaswamy Sridhar,278144,sec,SNOW,F,2024-06-20,126.62
-1555,,2024-06-24,0001640147-24-000166,False,Scarpelli Michael,170738,sec,SNOW,F,2024-06-20,130.67
