change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-2500,,2024-07-17,0001628280-24-032101,True,Esperanza Chrysty,0,sec,SQ,C,2024-07-15,0.0
2500,,2024-07-17,0001628280-24-032101,True,Esperanza Chrysty,2500,sec,SQ,M,2024-07-15,0.0
-2500,,2024-07-17,0001628280-24-032101,True,Esperanza Chrysty,17500,sec,SQ,M,2024-07-15,0.0
-2500,,2024-07-17,0001628280-24-032101,False,Esperanza Chrysty,92048,sec,SQ,S,2024-07-15,70.0
2500,,2024-07-17,0001628280-24-032101,False,Esperanza Chrysty,94548,sec,SQ,C,2024-07-15,0.0
-1147,,2024-07-10,0001628280-24-031617,False,Ahuja Amrita,271394,sec,SQ,S,2024-07-08,66.57
-2347,,2024-07-05,0001628280-24-031315,False,Grassadonia Brian,588414,sec,SQ,S,2024-07-03,64.41
-1869,,2024-07-05,0001628280-24-031311,False,Ahuja Amrita,272541,sec,SQ,S,2024-07-03,64.41
-1889,,2024-07-05,0001628280-24-031315,False,Grassadonia Brian,590761,sec,SQ,S,2024-07-02,64.37
-516,,2024-07-05,0001628280-24-031314,False,Esperanza Chrysty,92048,sec,SQ,S,2024-07-02,64.37
-471,,2024-07-05,0001628280-24-031312,False,Dale Ajmere,92866,sec,SQ,S,2024-07-02,64.37
-3304,,2024-07-05,0001628280-24-031311,False,Ahuja Amrita,274410,sec,SQ,S,2024-07-02,63.98
-1973,,2024-07-05,0001628280-24-031311,False,Ahuja Amrita,277714,sec,SQ,S,2024-07-02,64.37
203,,2024-07-03,0001628280-24-031154,False,Narula Neha,7710,sec,SQ,A,2024-07-01,0.0
213,,2024-07-03,0001628280-24-031151,False,Meeker Mary G,415588,sec,SQ,A,2024-07-01,0.0
155,,2024-07-03,0001628280-24-031150,False,McKelvey James Morgan Jr.,14653,sec,SQ,A,2024-07-01,0.0
164,,2024-07-03,0001628280-24-031149,False,Brooks Amy,20922,sec,SQ,A,2024-07-01,0.0
155,,2024-07-03,0001628280-24-031147,False,Carter Shawn Corey,23312,sec,SQ,A,2024-07-01,0.0
213,,2024-07-03,0001628280-24-031146,False,BOTHA ROELOF,29764,sec,SQ,A,2024-07-01,0.0
4038,,2024-06-21,0001628280-24-029393,False,Narula Neha,7507,sec,SQ,A,2024-06-18,0.0
4038,,2024-06-21,0001628280-24-029391,False,Meeker Mary G,415375,sec,SQ,A,2024-06-18,0.0
4038,,2024-06-21,0001628280-24-029389,False,GARUTTI RANDALL J,31696,sec,SQ,A,2024-06-18,0.0
4038,,2024-06-21,0001628280-24-029388,False,McKelvey James Morgan Jr.,14498,sec,SQ,A,2024-06-18,0.0
4038,,2024-06-21,0001628280-24-029386,False,Carter Shawn Corey,23157,sec,SQ,A,2024-06-18,0.0
4038,,2024-06-21,0001628280-24-029385,False,Deighton Paul,43280,sec,SQ,A,2024-06-18,0.0
4038,,2024-06-21,0001628280-24-029384,False,Brooks Amy,20758,sec,SQ,A,2024-06-18,0.0
5168,,2024-06-21,0001628280-24-029381,False,BOTHA ROELOF,29551,sec,SQ,A,2024-06-18,0.0
-2096,,2024-05-23,0001628280-24-025017,False,Grassadonia Brian,592650,sec,SQ,S,2024-05-22,70.66
-1100,,2024-05-23,0001628280-24-025017,False,Grassadonia Brian,594746,sec,SQ,S,2024-05-22,69.46
-3304,,2024-05-23,0001628280-24-025017,False,Grassadonia Brian,595846,sec,SQ,S,2024-05-22,68.29
-854,,2024-05-23,0001628280-24-025014,False,Ahuja Amrita,279687,sec,SQ,S,2024-05-22,70.77
-567,,2024-05-23,0001628280-24-025014,False,Ahuja Amrita,280541,sec,SQ,S,2024-05-22,69.69
-1778,,2024-05-23,0001628280-24-025014,False,Ahuja Amrita,281108,sec,SQ,S,2024-05-22,68.41
-5155,,2024-05-23,0001628280-24-025017,False,Grassadonia Brian,599150,sec,SQ,S,2024-05-21,71.26
-1998,,2024-05-23,0001628280-24-025016,False,Esperanza Chrysty,92564,sec,SQ,S,2024-05-21,71.26
-1278,,2024-05-23,0001628280-24-025015,False,Dale Ajmere,93337,sec,SQ,S,2024-05-21,71.26
-6788,,2024-05-23,0001628280-24-025014,False,Ahuja Amrita,282886,sec,SQ,S,2024-05-21,71.26
444,,2024-05-23,0001628280-24-025017,False,Grassadonia Brian,604305,sec,SQ,A,2024-05-15,47.86
444,,2024-05-23,0001628280-24-025016,False,Esperanza Chrysty,94562,sec,SQ,A,2024-05-15,47.86
444,,2024-05-23,0001628280-24-025015,False,Dale Ajmere,94615,sec,SQ,A,2024-05-15,47.86
-153336,,2024-05-03,0001628280-24-020354,True,Grassadonia Brian,0,sec,SQ,C,2024-05-01,0.0
153336,,2024-05-03,0001628280-24-020354,True,Grassadonia Brian,153336,sec,SQ,M,2024-05-01,0.0
-153336,,2024-05-03,0001628280-24-020354,True,Grassadonia Brian,0,sec,SQ,M,2024-05-01,0.0
-14074,,2024-05-03,0001628280-24-020354,False,Grassadonia Brian,603861,sec,SQ,S,2024-05-01,69.07
-28671,,2024-05-03,0001628280-24-020354,False,Grassadonia Brian,617935,sec,SQ,S,2024-05-01,68.44
-40336,,2024-05-03,0001628280-24-020354,False,Grassadonia Brian,646606,sec,SQ,S,2024-05-01,67.22
-30587,,2024-05-03,0001628280-24-020354,False,Grassadonia Brian,686942,sec,SQ,S,2024-05-01,66.48
153336,,2024-05-03,0001628280-24-020354,False,Grassadonia Brian,717529,sec,SQ,C,2024-05-01,0.0
141017,,2024-04-26,0001628280-24-018729,True,Grassadonia Brian,141017,sec,SQ,A,2024-04-24,0.0
86903,,2024-04-26,0001628280-24-018729,False,Grassadonia Brian,564193,sec,SQ,A,2024-04-24,0.0
54238,,2024-04-26,0001628280-24-018728,True,Esperanza Chrysty,54238,sec,SQ,A,2024-04-24,0.0
33425,,2024-04-26,0001628280-24-018728,False,Esperanza Chrysty,94118,sec,SQ,A,2024-04-24,0.0
26740,,2024-04-26,0001628280-24-018727,False,Dale Ajmere,94171,sec,SQ,A,2024-04-24,0.0
162712,,2024-04-26,0001628280-24-018726,True,Ahuja Amrita,162712,sec,SQ,A,2024-04-24,0.0
100273,,2024-04-26,0001628280-24-018726,False,Ahuja Amrita,289674,sec,SQ,A,2024-04-24,0.0
-3791,,2024-04-04,0001628280-24-014898,False,Ahuja Amrita,189401,sec,SQ,S,2024-04-03,78.41
-4514,,2024-04-03,0001628280-24-014757,False,Grassadonia Brian,477290,sec,SQ,S,2024-04-03,78.41
-4170,,2024-04-04,0001628280-24-014898,False,Ahuja Amrita,193192,sec,SQ,S,2024-04-02,78.84
-1120,,2024-04-04,0001628280-24-014897,False,Esperanza Chrysty,60693,sec,SQ,S,2024-04-02,78.84
-3841,,2024-04-03,0001628280-24-014757,False,Grassadonia Brian,481804,sec,SQ,S,2024-04-02,78.84
-892,,2024-04-03,0001628280-24-014703,False,Dale Ajmere,67431,sec,SQ,S,2024-04-02,78.84
-153332,,2024-04-03,0001628280-24-014757,True,Grassadonia Brian,0,sec,SQ,C,2024-04-01,0.0
153332,,2024-04-03,0001628280-24-014757,True,Grassadonia Brian,153332,sec,SQ,M,2024-04-01,0.0
-153332,,2024-04-03,0001628280-24-014757,True,Grassadonia Brian,153336,sec,SQ,M,2024-04-01,0.0
-5509,,2024-04-03,0001628280-24-014757,False,Grassadonia Brian,485645,sec,SQ,S,2024-04-01,84.72
-2970,,2024-04-03,0001628280-24-014757,False,Grassadonia Brian,491154,sec,SQ,S,2024-04-01,83.93
-73850,,2024-04-03,0001628280-24-014757,False,Grassadonia Brian,494124,sec,SQ,S,2024-04-01,82.75
-29337,,2024-04-03,0001628280-24-014757,False,Grassadonia Brian,567974,sec,SQ,S,2024-04-01,82.17
153332,,2024-04-03,0001628280-24-014757,False,Grassadonia Brian,597311,sec,SQ,C,2024-04-01,0.0
-500,,2024-04-03,0001628280-24-014703,False,Dale Ajmere,68323,sec,SQ,S,2024-04-01,84.75
148,,2024-04-03,0001628280-24-014700,False,Narula Neha,3469,sec,SQ,A,2024-04-01,0.0
162,,2024-04-03,0001628280-24-014699,False,Meeker Mary G,411337,sec,SQ,A,2024-04-01,0.0
118,,2024-04-03,0001628280-24-014698,False,McKelvey James Morgan Jr.,10460,sec,SQ,A,2024-04-01,0.0
118,,2024-04-03,0001628280-24-014696,False,Carter Shawn Corey,19119,sec,SQ,A,2024-04-01,0.0
125,,2024-04-03,0001628280-24-014692,False,Brooks Amy,16720,sec,SQ,A,2024-04-01,0.0
162,,2024-04-03,0001628280-24-014679,False,BOTHA ROELOF,24383,sec,SQ,A,2024-04-01,0.0
-14415,,2024-03-15,0001628280-24-011513,True,Esperanza Chrysty,0,sec,SQ,C,2024-03-13,0.0
14415,,2024-03-15,0001628280-24-011513,True,Esperanza Chrysty,14415,sec,SQ,M,2024-03-13,0.0
-14415,,2024-03-15,0001628280-24-011513,True,Esperanza Chrysty,0,sec,SQ,M,2024-03-13,0.0
-14415,,2024-03-15,0001628280-24-011513,False,Esperanza Chrysty,61813,sec,SQ,S,2024-03-13,85.0
14415,,2024-03-15,0001628280-24-011513,False,Esperanza Chrysty,76228,sec,SQ,C,2024-03-13,0.0
-153332,,2024-03-06,0001628280-24-009489,True,Grassadonia Brian,0,sec,SQ,C,2024-03-04,0.0
153332,,2024-03-06,0001628280-24-009489,True,Grassadonia Brian,153332,sec,SQ,M,2024-03-04,0.0
-153332,,2024-03-06,0001628280-24-009489,True,Grassadonia Brian,306668,sec,SQ,M,2024-03-04,0.0
-111914,,2024-03-06,0001628280-24-009489,False,Grassadonia Brian,443979,sec,SQ,S,2024-03-04,78.17
153332,,2024-03-06,0001628280-24-009489,False,Grassadonia Brian,555893,sec,SQ,C,2024-03-04,0.0
