change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-650,,2024-06-07,0001972928-24-000002,False,Zhu Xiaotong,65155,sec,TSLA,S,2024-06-06,174.212
-2633,,2024-06-07,0001972928-24-000002,True,Zhu Xiaotong,2633,sec,TSLA,M,2024-06-05,0.0
2633,,2024-06-07,0001972928-24-000002,False,Zhu Xiaotong,65804,sec,TSLA,M,2024-06-05,0.0
-250020,,2024-06-05,0001771340-24-000003,True,MURDOCH JAMES R,0,sec,TSLA,M,2024-06-03,0.0
250020,,2024-06-05,0001771340-24-000003,False,MURDOCH JAMES R,250020,sec,TSLA,M,2024-06-03,21.31
-21878,,2024-05-07,0000950170-24-054842,True,DENHOLM ROBYN M,10612,sec,TSLA,M,2024-05-06,0.0
-47129,,2024-05-07,0000950170-24-054842,True,DENHOLM ROBYN M,22861,sec,TSLA,M,2024-05-06,0.0
-24698,,2024-05-07,0000950170-24-054842,True,DENHOLM ROBYN M,44096,sec,TSLA,M,2024-05-06,0.0
-11805,,2024-05-07,0000950170-24-054842,False,DENHOLM ROBYN M,15000,sec,TSLA,S,2024-05-06,187.057
-11281,,2024-05-07,0000950170-24-054842,False,DENHOLM ROBYN M,26805,sec,TSLA,S,2024-05-06,186.362
-16839,,2024-05-07,0000950170-24-054842,False,DENHOLM ROBYN M,38086,sec,TSLA,S,2024-05-06,185.046
-53780,,2024-05-07,0000950170-24-054842,False,DENHOLM ROBYN M,54925,sec,TSLA,S,2024-05-06,184.004
21878,,2024-05-07,0000950170-24-054842,False,DENHOLM ROBYN M,108705,sec,TSLA,M,2024-05-06,23.17
47129,,2024-05-07,0000950170-24-054842,False,DENHOLM ROBYN M,86827,sec,TSLA,M,2024-05-06,23.17
24698,,2024-05-07,0000950170-24-054842,False,DENHOLM ROBYN M,39698,sec,TSLA,M,2024-05-06,23.17
-10500,,2024-04-03,0001790565-24-000003,True,Baglino Andrew D,488775,sec,TSLA,M,2024-04-01,0.0
-10500,,2024-04-03,0001790565-24-000003,False,Baglino Andrew D,31230,sec,TSLA,S,2024-04-01,176.2
10500,,2024-04-03,0001790565-24-000003,False,Baglino Andrew D,41730,sec,TSLA,M,2024-04-01,17.22
-27499,,2024-03-14,0001771340-24-000002,True,DENHOLM ROBYN M,58795,sec,TSLA,M,2024-03-12,0.0
-66206,,2024-03-14,0001771340-24-000002,True,DENHOLM ROBYN M,68794,sec,TSLA,M,2024-03-12,0.0
-30300,,2024-03-14,0001771340-24-000002,False,DENHOLM ROBYN M,15000,sec,TSLA,S,2024-03-12,177.771
