change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
-375000,,2024-06-24,0001166388-24-000136,False,BODNER DAN,609764,sec,VRNT,S,2024-06-20,33.76
-7177,,2024-06-20,0001166388-24-000134,False,BODNER DAN,984764,sec,VRNT,S,2024-06-18,35.04
-7100,,2024-06-20,0001166388-24-000134,False,BODNER DAN,991941,sec,VRNT,S,2024-06-18,35.04
-2634,,2024-06-20,0001166388-24-000132,False,MORIAH ELAN,146411,sec,VRNT,S,2024-06-18,35.04
-2320,,2024-06-20,0001166388-24-000132,False,MORIAH ELAN,149045,sec,VRNT,S,2024-06-18,35.04
-1085,,2024-06-20,0001166388-24-000130,False,Highlander Grant A,134656,sec,VRNT,S,2024-06-18,35.04
-1311,,2024-06-20,0001166388-24-000129,False,FANTE PETER,97664,sec,VRNT,S,2024-06-18,35.04
4375,,2024-06-18,0001166388-24-000123,False,MORIAH ELAN,151365,sec,VRNT,A,2024-06-15,0.0
13389,,2024-06-18,0001166388-24-000122,False,BODNER DAN,999041,sec,VRNT,A,2024-06-15,0.0
-4417,,2024-06-17,0001166388-24-000119,False,FANTE PETER,98975,sec,VRNT,S,2024-06-13,36.6
-1553,,2024-06-12,0001166388-24-000109,False,MORIAH ELAN,146990,sec,VRNT,S,2024-06-11,36.11
-669,,2024-06-12,0001166388-24-000107,False,Highlander Grant A,135741,sec,VRNT,S,2024-06-11,36.11
-1087,,2024-06-12,0001166388-24-000106,False,FANTE PETER,103392,sec,VRNT,S,2024-06-11,36.11
-6096,,2024-06-12,0001166388-24-000105,False,BODNER DAN,985652,sec,VRNT,S,2024-06-11,36.11
-1806,,2024-06-10,0001166388-24-000097,False,KURTZ WILLIAM,20193,sec,VRNT,S,2024-06-07,36.55
-304,,2024-06-10,0001166388-24-000097,False,KURTZ WILLIAM,21999,sec,VRNT,S,2024-06-07,36.49
-35039,,2024-04-23,0001166388-24-000055,False,BODNER DAN,991748,sec,VRNT,S,2024-04-23,30.0
6859,,2024-04-24,0001166388-24-000073,False,Smith Yvette H,11034,sec,VRNT,A,2024-04-22,0.0
6859,,2024-04-24,0001166388-24-000072,False,Robinson Kristen,15739,sec,VRNT,A,2024-04-22,0.0
6859,,2024-04-24,0001166388-24-000071,False,Nottenburg Richard N,6859,sec,VRNT,A,2024-04-22,0.0
6859,,2024-04-24,0001166388-24-000070,False,Miller Andrew,26895,sec,VRNT,A,2024-04-22,0.0
6859,,2024-04-24,0001166388-24-000068,False,GOLD STEPHEN J,31217,sec,VRNT,A,2024-04-22,0.0
6859,,2024-04-24,0001166388-24-000069,False,KURTZ WILLIAM,22303,sec,VRNT,A,2024-04-22,0.0
6859,,2024-04-24,0001166388-24-000067,False,FRENCH R REID JR,23253,sec,VRNT,A,2024-04-22,0.0
6859,,2024-04-24,0001166388-24-000066,False,EGAN JOHN R,48540,sec,VRNT,A,2024-04-22,0.0
6859,,2024-04-24,0001166388-24-000065,False,Crawford Linda M.,18553,sec,VRNT,A,2024-04-22,0.0
56666,,2024-04-23,0001166388-24-000053,False,MORIAH ELAN,148543,sec,VRNT,A,2024-04-22,0.0
53968,,2024-04-23,0001166388-24-000052,False,Highlander Grant A,136410,sec,VRNT,A,2024-04-22,0.0
53968,,2024-04-23,0001166388-24-000051,False,FANTE PETER,104479,sec,VRNT,A,2024-04-22,0.0
128553,,2024-04-23,0001166388-24-000050,False,BODNER DAN,1026787,sec,VRNT,A,2024-04-22,0.0
-847,,2024-04-16,0001166388-24-000044,False,Highlander Grant A,82442,sec,VRNT,S,2024-04-15,30.09
-1215,,2024-04-16,0001166388-24-000044,False,Highlander Grant A,83289,sec,VRNT,S,2024-04-15,30.09
-1750,,2024-04-16,0001166388-24-000039,False,MORIAH ELAN,91877,sec,VRNT,S,2024-04-15,30.09
-8130,,2024-04-16,0001166388-24-000039,False,MORIAH ELAN,93627,sec,VRNT,S,2024-04-15,30.09
-1317,,2024-04-16,0001166388-24-000038,False,FANTE PETER,50511,sec,VRNT,S,2024-04-15,30.09
-4927,,2024-04-16,0001166388-24-000038,False,FANTE PETER,51828,sec,VRNT,S,2024-04-15,30.09
-4309,,2024-04-16,0001166388-24-000037,False,BODNER DAN,898234,sec,VRNT,S,2024-04-15,30.09
-40026,,2024-04-16,0001166388-24-000037,False,BODNER DAN,902543,sec,VRNT,S,2024-04-15,30.09
1513,,2024-04-16,0001166388-24-000044,False,Highlander Grant A,84504,sec,VRNT,A,2024-04-12,0.0
2451,,2024-04-16,0001166388-24-000044,False,Highlander Grant A,82991,sec,VRNT,A,2024-04-12,0.0
8324,,2024-04-16,0001166388-24-000039,False,MORIAH ELAN,101757,sec,VRNT,A,2024-04-12,0.0
13480,,2024-04-16,0001166388-24-000039,False,MORIAH ELAN,93433,sec,VRNT,A,2024-04-12,0.0
5045,,2024-04-16,0001166388-24-000038,False,FANTE PETER,56755,sec,VRNT,A,2024-04-12,0.0
8170,,2024-04-16,0001166388-24-000038,False,FANTE PETER,51710,sec,VRNT,A,2024-04-12,0.0
31281,,2024-04-16,0001166388-24-000037,False,BODNER DAN,942569,sec,VRNT,A,2024-04-12,0.0
50658,,2024-04-16,0001166388-24-000037,False,BODNER DAN,911288,sec,VRNT,A,2024-04-12,0.0
-5274,,2024-04-15,0001166388-24-000029,False,Nottenburg Richard N,0,sec,VRNT,S,2024-04-11,31.17
-8329,,2024-04-04,0001166388-24-000019,False,FANTE PETER,43540,sec,VRNT,S,2024-04-03,31.38
-1247,,2024-04-02,0001166388-24-000017,False,MORIAH ELAN,79953,sec,VRNT,S,2024-04-01,33.09
-13106,,2024-04-02,0001166388-24-000017,False,MORIAH ELAN,81200,sec,VRNT,S,2024-04-01,32.58
-33472,,2024-03-21,0001166388-24-000008,False,BODNER DAN,860630,sec,VRNT,S,2024-03-20,31.29
-30000,,2024-02-22,0001166388-24-000004,False,BODNER DAN,894102,sec,VRNT,S,2024-02-20,31.61
-68372,,2024-01-30,0001166388-24-000002,False,BODNER DAN,924102,sec,VRNT,S,2024-01-26,30.0
-2797,,2023-12-21,0001166388-23-000200,False,Highlander Grant A,80540,sec,VRNT,S,2023-12-20,27.92
-4944,,2023-12-19,0001166388-23-000197,False,MORIAH ELAN,94306,sec,VRNT,S,2023-12-18,27.46
-3370,,2023-12-19,0001166388-23-000195,False,FANTE PETER,51869,sec,VRNT,S,2023-12-18,27.46
