change,currency,filingDate,id,isDerivative,name,share,source,symbol,transactionCode,transactionDate,transactionPrice
2664,,2024-07-12,0001618921-24-000071,True,Lederer John Anthony,71478,sec,WBA,A,2024-07-10,11.26
2220,,2024-07-12,0001618921-24-000070,True,JARRETT VALERIE B,35156,sec,WBA,A,2024-07-10,11.26
2220,,2024-07-12,0001618921-24-000069,True,Huffines Robert Luther,4104,sec,WBA,A,2024-07-10,11.26
186136,,2024-06-04,0001618921-24-000058,False,Minnix Lanesha,186136,sec,WBA,A,2024-06-01,0.0
256739,,2024-06-04,0001618921-24-000057,False,Langowksi Mary,256739,sec,WBA,A,2024-06-01,0.0
160462,,2024-06-04,0001618921-24-000056,False,Burger Elizabeth,160462,sec,WBA,A,2024-06-01,0.0
1420,,2024-04-29,0001618921-24-000052,True,JARRETT VALERIE B,32414,sec,WBA,A,2024-04-25,17.6
1420,,2024-04-29,0001618921-24-000051,True,Huffines Robert Luther,1853,sec,WBA,A,2024-04-25,17.6
1705,,2024-04-29,0001618921-24-000049,True,Lederer John Anthony,67724,sec,WBA,A,2024-04-25,17.6
-3489,,2024-04-25,0001618921-24-000045,False,Brown Tracey D,176380,sec,WBA,F,2024-04-23,18.22
11594,,2024-04-25,0001618921-24-000045,False,Brown Tracey D,179869,sec,WBA,A,2024-04-23,0.0
3000,,2024-04-15,0001618921-24-000042,False,Bhandari Inderpal S,3000,sec,WBA,P,2024-04-11,18.05
6000,,2024-04-02,0001618921-24-000038,False,Mahajan Manmohan,166969,sec,WBA,P,2024-04-02,19.38
12541,,2024-03-05,0001618921-24-000026,False,Heckman Todd,41164,sec,WBA,A,2024-03-01,0.0
14052,,2024-03-05,0001618921-24-000025,False,Fabbri Beth Amber L.,52822,sec,WBA,A,2024-03-01,0.0
11219,,2024-03-05,0001618921-24-000024,False,Brown Tracey D,168275,sec,WBA,A,2024-03-01,0.0
101874,,2024-03-05,0001618921-24-000023,False,Mahajan Manmohan,160969,sec,WBA,A,2024-03-01,0.0
4456,,2024-01-31,0001618921-24-000019,False,JARRETT VALERIE B,4456,sec,WBA,P,2024-01-29,22.44
428,,2024-01-29,0001618921-24-000018,True,Huffines Robert Luther,428,sec,WBA,A,2024-01-25,23.11
666,,2024-01-29,0001618921-24-000016,True,Murphy Dominic,75353,sec,WBA,A,2024-01-25,23.11
1082,,2024-01-29,0001618921-24-000015,True,JARRETT VALERIE B,30634,sec,WBA,A,2024-01-25,23.11
1298,,2024-01-29,0001618921-24-000014,True,Lederer John Anthony,65253,sec,WBA,A,2024-01-25,23.11
-15209,,2024-01-18,0001618921-24-000008,False,SCHLICHTING NANCY M,0,sec,WBA,S,2024-01-16,23.05
10000,,2024-01-08,0001618921-24-000006,False,WENTWORTH TIMOTHY C,585122,sec,WBA,P,2024-01-05,24.222
-1000,,2023-11-14,0001618921-23-000103,False,Gates Richard P.,73929,sec,WBA,S,2023-11-10,20.45
9694,,2023-11-03,0001618921-23-000090,False,SCHLICHTING NANCY M,15209,sec,WBA,A,2023-11-01,0.0
